Date	Visitor	Score	Home	Decision	Attendance	Record
February 1	NY Rangers	3 – 1	New Jersey	Brodeur	17,625	28–20–3
February 2	Los Angeles	3 – 6	New Jersey	Brodeur	15,279	29–20–3
February 4	Pittsburgh	3 – 4	New Jersey	Brodeur	13,012	30–20–3
February 6	New Jersey	2 – 3	Buffalo	Brodeur	18,690	30–20–4
February 8	Anaheim	2 – 1	New Jersey	Brodeur	15,332	30–21–4
February 9	Carolina	1 – 6	New Jersey	Brodeur	16,257	31–21–4
February 13	Ottawa	2 – 3	New Jersey	Brodeur	12,339	32–21–4
February 15	Atlanta	4 – 3	New Jersey	Brodeur	14,475	32–21–5
February 16	New Jersey	3 – 2	Ottawa	Brodeur	20,201	33–21–5
February 18	Carolina	1 – 5	New Jersey	Brodeur	16,182	34–21–5
February 20	San Jose	2 – 3	New Jersey	Brodeur	13,855	35–21–5
February 23	NY Islanders	2 – 4	New Jersey	Brodeur	17,625	36–21–5
February 24	New Jersey	2 – 1	Washington	Brodeur	18,277	37–21–5
February 26	New Jersey	1 – 2	Carolina	Brodeur	15,466	37–21–6
February 29	Washington	4 – 0	New Jersey	Brodeur	16,580	37–22–6
