Position	Club	Games played	Wins	Draws	Loses	Goals scored	Goals conceded	Points
1	Rodiklis Kaunas	22	16	3	3	76	20	51
2	Alytis Alytus	22	14	5	3	61	14	47
3	Nevėžis Kėdainiai	22	13	6	3	44	17	45
4	Kruoja Pakruojis	22	13	4	5	45	23	43
5	Lietava Jonava	22	11	4	7	41	25	37
6	Banga Gargždai	22	9	7	6	42	12	34
7	LKKA ir Teledema Kaunas	22	10	3	9	76	34	33
8	Kauno Jėgeriai	22	7	6	9	34	30	27
9	Vilkmergė Ukmergė	22	5	3	14	31	60	18
10	Glestum Klaipėda	22	4	6	12	23	59	18
11	Tauras ir Erra Tauragė	22	3	2	17	17	126	11
12	FK Anykščiai	22	1	3	18	14	84	6
