Place	Player	Country	Score	To par	Money ( $ )
T1	Billy Casper	United States	72-68-68-71=279	–9	Playoff
T1	Gene Littler	United States	69-70-70-70=279	–9	Playoff
3	Gary Player	South Africa	74-68-68-70=280	–8	14,000
4	Bert Yancey	United States	69-70-72-70=281	–7	10,000
T5	Tommy Aaron	United States	68-74-69-72=283	–5	6,667
T5	Dave Hill	United States	73-70-70-70=283	–5	6,667
T5	Dave Stockton	United States	72-72-69-70=283	–5	6,667
8	Jack Nicklaus	United States	71-75-69-69=284	–4	4,500
9	Frank Beard	United States	71-76-68-70=285	–3	4,000
T10	Bob Lunn	United States	70-70-75-72=287	–1	3,500
T10	Chi-Chi Rodríguez	United States	70-76-73-68=287	–1	3,500
