Rnd	Race Name	Circuit	City/Location	Date	Pole position	Fastest lap	Winning driver	Winning team	Report
1	Dailkyo IndyCar Grand Prix	Surfers Paradise Street Circuit	Surfers Paradise , Australia	March 22	Al Unser, Jr.	Emerson Fittipaldi	Emerson Fittipaldi	Marlboro Team Penske	Report
2	Valvoline 200	Phoenix International Raceway	Phoenix, Arizona	April 5	Michael Andretti	Rick Mears	Bobby Rahal	Rahal-Hogan Racing	Report
3	Toyota Grand Prix of Long Beach	Streets of Long Beach	Long Beach, California	April 12	Michael Andretti	Unknown	Danny Sullivan	Galles-Kraco Racing	Report
4	76th Indianapolis 500	Indianapolis Motor Speedway	Speedway, Indiana	May 24	Roberto Guerrero	Michael Andretti	Al Unser, Jr.	Galles-Kraco Racing	Report
5	ITT Automotive Grand Prix of Detroit	The Raceway on Belle Isle Park	Detroit, Michigan	June 7	Michael Andretti	Unknown	Bobby Rahal	Rahal-Hogan Racing	Report
6	Budweiser/G.I.Joe´s 200	Portland International Raceway	Portland, Oregon	June 21	Emerson Fittipaldi	Unknown	Michael Andretti	Newman/Haas Racing	Report
7	Miller Genuine Draft 200	Milwaukee Mile	West Allis, Wisconsin	June 28	Bobby Rahal	Unknown	Michael Andretti	Newman/Haas Racing	Report
8	New England 200	New Hampshire International Speedway	Loudon, New Hampshire	July 5	Bobby Rahal	Michael Andretti	Bobby Rahal	Rahal-Hogan Racing	Report
9	Molson Indy Toronto	Exhibition Place	Toronto, Ontario	July 19	Bobby Rahal	Unknown	Michael Andretti	Newman/Haas Racing	Report
10	Marlboro 500	Michigan International Speedway	Brooklyn, Michigan	August 2	Mario Andretti	Unknown	Scott Goodyear	Walker Motorsport	Report
11	Budweiser Grand Prix of Cleveland	Cleveland Burke Lakefront Airport	Cleveland, Ohio	August 9	Emerson Fittipaldi	Unknown	Emerson Fittipaldi	Marlboro Team Penske	Report
12	Texaco/Havoline 200	Road America	Elkhart Lake, Wisconsin	August 23	Paul Tracy	Emerson Fittipaldi	Emerson Fittipaldi	Marlboro Team Penske	Report
13	Molson Indy Vancouver	Streets of Vancouver	Vancouver, British Columbia	August 30	Michael Andretti	Emerson Fittipaldi	Michael Andretti	Newman/Haas Racing	Report
14	Pioneer Electronics 200	Mid-Ohio Sports Car Course	Lexington, Ohio	September 13	Michael Andretti	Unknown	Emerson Fittipaldi	Marlboro Team Penske	Report
NC	Marlboro Challenge	Nazareth Speedway	Nazareth, Pennsylvania	October 3	Michael Andretti	Unknown	Emerson Fittipaldi	Marlboro Team Penske	Report
15	Bosch Spark Plug Grand Prix	Nazareth Speedway	Nazareth, Pennsylvania	October 4	Michael Andretti	Bobby Rahal	Bobby Rahal	Rahal-Hogan Racing	Report
