Rank	Nation	Gold	Silver	Bronze	Total
1	Hungary	5	2	0	7
2	China	5	1	1	7
3	Iran	4	0	0	4
4	France	1	3	2	6
5	Vietnam	1	2	0	3
6	Germany	1	0	2	3
7	Japan	1	0	1	2
7	United States	1	0	1	2
9	Belgium	1	0	0	1
9	Cuba	1	0	0	1
9	Hong Kong	1	0	0	1
9	Indonesia	1	0	0	1
13	Malaysia	0	2	2	4
14	Russia	0	2	0	2
15	Italy	0	1	1	2
15	Portugal	0	1	1	2
15	Turkey	0	1	1	2
15	Ukraine	0	1	1	2
19	Brazil	0	1	0	1
19	Canada	0	1	0	1
19	Chile	0	1	0	1
19	Czech Republic	0	1	0	1
19	Spain	0	1	0	1
19	India	0	1	0	1
19	Venezuela	0	1	0	1
26	Argentina	0	0	1	1
26	Colombia	0	0	1	1
26	Mexico	0	0	1	1
26	Netherlands	0	0	1	1
26	Poland	0	0	1	1
Total	Total	23	23	18	64
