Number	Builder	Type	Date	Works number
1st #1	Baldwin Locomotive Works	4-4-0	1880	5285
2nd #1	Baldwin Locomotive Works	2-8-0	1919	41300
3rd #1	General Electric	Diesel	1954	32226
2	Baldwin Locomotive Works	4-4-0	1881	5428
1st #3	Baldwin Locomotive Works	4-4-0	1881	5430
2nd #3	Baldwin Locomotive Works	4-4-0	1887	8791
1st #4	Baldwin Locomotive Works	4-4-0	1881	55782
2nd #4	Baldwin Locomotive Works	4-6-0	1899	17124
1st #5	Baldwin Locomotive Works	4-4-0	1882	6089
2nd #5	Baldwin Locomotive Works	4-6-0	1899	17123
1st #6	Baldwin Locomotive Works	4-4-0	1882	6090
2nd #6	Baldwin Locomotive Works	4-4-0	1877	4223
3rd #6	Baldwin Locomotive Works	4-6-0	1903	22020
1st #7	Baldwin Locomotive Works	4-4-0	1883	6687
2nd #7	Baldwin Locomotive Works	4-6-0	1903	22012
1st #8	Baldwin Locomotive Works	4-4-0	1883	6689
2nd #8	Baldwin Locomotive Works	4-6-0	1907	31445
1st #9	Baldwin Locomotive Works	4-4-0	1885	7604
2nd #9	Baldwin Locomotive Works	4-6-0	1909	34035
10	Baldwin Locomotive Works	4-4-0	1885	7605
11	Baldwin Locomotive Works	2-6-0	1881	5649
12	Baldwin Locomotive Works	2-6-0	1881	5650
13	Baldwin Locomotive Works	2-8-0	1882	6157
14	Baldwin Locomotive Works	4-6-0	1886	7939
15	Baldwin Locomotive Works	4-6-0	1889	9929
16	Baldwin Locomotive Works	4-6-0	1886	7941
17	Baldwin Locomotive Works	4-6-0	1887	8487
18	Baldwin Locomotive Works	4-6-0	1911	37395
22	Schenectady Locomotive Works	4-6-0	1899	5399
