Elector	Nationality	Order	Title	Elevated	Elevator
Latino Malabranca Orsini , O.P.	Roman	Cardinal-bishop	Bishop of Ostia e Velletri	1278, March 12	Nicholas III
Gerardo Bianchi	Parmigiani	Cardinal-bishop	Bishop of Sabina	1278, March 12	Nicholas III
Giovanni Boccamazza	Roman	Cardinal-bishop	Bishop of Frascati	1285, December 22	Honorius IV
Matteo d'Acquasparta , O.F.M.	ni Todi	Cardinal-bishop	Bishop of Porto e Santa Rufina	1288, May 16	Nicholas IV
Jean Cholet	French	Cardinal-priest	Titulus S. Cecilia	1281, April 12	Martin IV
Benedetto Caetani	ni Anagni ( n Catalonia family)	Cardinal-priest	Titulus Ss. Silvestro e Martino ai Monti	1281, April 12	Martin IV
Hugues Aycelin de Billom , O.P.	French	Cardinal-priest	Titulus S. Sabina	1288, May 16	Nicholas IV
Pietro Peregrosso	ese Milan	Cardinal-priest	Titulus S. Marco	1288, May 16	Nicholas IV
Matteo Orsini Rosso	Roman	Cardinal-deacon	Deacon of S. Maria in Portico	1262, May 22	Urban IV
Giacomo Colonna	Roman	Cardinal-deacon	Deacon of S. Maria in Via Lata	1278, March 12	Nicholas III
Napoleone Orsini	Roman	Cardinal-deacon	Deacon of S. Adriano	1288, May 16	Nicholas IV
Pietro Colonna	Roman	Cardinal-deacon	Deacon of S. Eustachio	1288, May 16	Nicholas IV
