-	Quebec	Ontario	Atlantic	Canada West	NATIONAL
Week 1	Alexandre Poirier (Sherbrooke)	Matthew Bolduc (Ottawa)	Season Did Not Start	Julian Marchand (Alberta)	Matthew Bolduc (Ottawa)
Week 2	Rotrand Sené (Montreal)	Donnie Marshall (Western)	Stu Clow (Acadia)	Eric Dzwilewski (Calgary)	Rotrand Sené (Montreal)
Week 3	Rotrand Sené (Montreal)	Cyril Adjeitey (Ottawa)	Gary Ross (Mount Allison)	Mark McConkey (Regina)	Mark McConkey (Regina)
Week 4	Rotrand Sené (Montreal)	Giovanni Aprile (Queen’s)	Kyle Graves (Acadia)	Laurence Nixon (Saskatchewan)	Laurence Nixon (Saskatchewan)
Week 5	Tristan Grenon (Laval)	Andrew Gillis (Toronto)	Jordan Catterall (St. Francis Xavier)	Marc Mueller (Regina)	Andrew Gillis (Toronto)
Week 6	Jesse Andrews (Bishop's)	Justin Chapdelaine (Queen's)	Kyle Graves (Acadia)	No nominee (bye week)	Justin Chapdelaine (Queen's)
Week 7	Bruno Prud’homme (Laval)	Chris Rossetti (Guelph)	Alonzo Howell (Mount Allison)	Adrian Charles (Regina)	Adrian Charles (Regina)
Week 8	Jean-Philippe Shoiry (Sherbrooke)	Brad Sinopoli (Ottawa)	Craig Leger (Saint Mary's)	Matt Jarvis (Alberta)	Jean-Philippe Shoiry (Sherbrooke)
Week 9	Pascal Lochard (Laval)	Kyle Quinlan (McMaster)	Matt Pickett (Mount Allison)	Laurence Nixon (Saskatchewan)	Laurence Nixon (Saskatchewan)
Week 10	Bruno Prud'Homme (Laval)	Alex Fortier-Labonté (Ottawa)	Scott Kelly (Acadia)	Anthony Parker (Calgary)	Anthony Parker (Calgary)
Week 11	Simon Charbonneau Campeau (Sherbrooke)	Jerimy Hipperson (Western Ontario)	Ahmed Borhot (Saint Mary's)	Erik Glavic (Calgary)	Erik Glavic (Calgary)
