Clubs	Seasons at this level	Settlements	Season joined league	Position in 1960/1961
Benfica	28 seasons	Lisbon	1934/1935	1
Sporting	28 seasons	Lisbon	1934/1935	2
FC Porto	28 seasons	Porto	1934/1935	3
Belenenses	28 seasons	Lisbon	1934/1935	5
Académica	27 seasons	Coimbra	1949/1950	7
Vitória Guimarães	18 seasons	Guimarães	1958/1959	4
Atlético	16 seasons	Lisbon	1959/1960	10
Sporting Covilhã	13 seasons	Covilhã	1958/1959	9
Olhanense	11 seasons	Olhão	1961/1962	Segunda Divisão
Lusitano Évora	10 seasons	Évora	1952/1953	11
CUF	9 seasons	Barreiro	1954/1955	6
Salgueiros	6 seasons	Porto	1960/1961	12
Leixões	5 seasons	Matosinhos	1959/1960	8
Beira Mar	1 season	Aveiro	1961/1962	Segunda Divisão
