Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
19	December 2	Toronto	W 132–93 (OT)	Chauncey Billups (24)	Nenê (11)	Chauncey Billups (14)	Pepsi Center 14,243	13–6
20	December 4	San Antonio	L 91–108 (OT)	Carmelo Anthony (16)	J. R. Smith (10)	J. R. Smith , Chauncey Billups (4)	Pepsi Center 15,866	13–7
21	December 6	@ Sacramento	W 118–85 (OT)	Chauncey Billups (24)	Nenê , Carmelo Anthony (7)	Chauncey Billups (4)	ARCO Arena 12,322	14–7
22	December 10	Minnesota	W 116–105 (OT)	Carmelo Anthony (45)	Carmelo Anthony (11)	Chauncey Billups (6)	Pepsi Center 14,007	15–7
23	December 13	Golden State	W 123–105 (OT)	Carmelo Anthony (27)	Carmelo Anthony (9)	Chauncey Billups (11)	Pepsi Center 15,322	16–7
24	December 15	@ Dallas	W 98–88 (OT)	J. R. Smith (25)	Kenyon Martin (10)	Chauncey Billups (8)	American Airlines Center 19,969	17–7
25	December 16	@ Houston	L 96–108 (OT)	Carmelo Anthony (22)	Kenyon Martin (8)	Chauncey Billups (6)	Toyota Center 17,737	17–8
26	December 19	Cleveland	L 88–105 (OT)	Chauncey Billups (16)	Chris Andersen (10)	Anthony Carter , J. R. Smith (4)	Pepsi Center 19,155	17–9
27	December 20	@ Phoenix	L 101–108 (OT)	J. R. Smith (23)	Nenê (15)	Chauncey Billups (8)	US Airways Center 18,422	17–10
28	December 22	Portland	W 97–89 (OT)	Chauncey Billups , Nenê (19)	Kenyon Martin (12)	Chauncey Billups (10)	Pepsi Center 18,611	18–10
29	December 23	@ Portland	L 92–101 (OT)	Linas Kleiza (20)	Nenê (13)	Chucky Atkins (4)	Rose Garden 20,007	18–11
30	December 26	Philadelphia	W 105–101 (OT)	J. R. Smith (27)	Nenê (12)	Chauncey Billups (10)	Pepsi Center 19,155	19–11
31	December 28	@ New York	W 117–110 (OT)	Carmelo Anthony (32)	Carmelo Anthony , Nenê (9)	Chauncey Billups (5)	Madison Square Garden 19,763	20–11
32	December 29	@ Atlanta	L 91–109 (OT)	Kenyon Martin (19)	Chris Andersen (6)	Anthony Carter (7)	Philips Arena 17,131	20–12
