City	Country	IATA	ICAO	Airport
Benghazi	Libya	BEN	HLLB	Benina International Airport
Djerba	Tunisia	DJE	DTTJ	Djerba–Zarzis International Airport
Gabès	Tunisia	GAE	DTTG	Gabès – Matmata International Airport
Gafsa	Tunisia	GAF	DTTF	Gafsa – Ksar International Airport
Malta	Malta	MLA	LMML	Malta International Airport
Misrata	Libya	MRA	HLMS	Misrata Airport
Monastir	Tunisia	MIR	DTMB	Monastir Habib Bourguiba International Airport
Naples	Italy	NAP	LIRN	Naples International Airport
Palermo	Italy	PMO	LICJ	Falcone–Borsellino Airport
Sfax	Tunisia	SFA	DTTX	Sfax–Thyna International Airport
Tabarka	Tunisia	TBJ	DTKA	Tabarka-Ain Draham International Airport
Tozeur	Tunisia	TOE	DTTZ	Tozeur–Nefta International Airport
Tripoli	Libya	TIP	HLLT	Tripoli International Airport
Tunis	Tunisia	TUN	DTAA	Tunis-Carthage International Airport
