Unemployment	2007-03	2008-03	2009-03	2010-03	2011-03	2012-03
Austria	4.5	4.1	4.5	4.9	4.4	4.2
Belgium	7.7	6.9	7.3	8.1	7.7	7.2
Denmark	4.1	3.0	5.7	7.6	7.5	7.7
Finland	7.0	6.3	7.4	9.0	8.0	7.6
France	8.6	7.6	8.8	10.1	9.5	10.1
Germany	8.6	7.4	7.6	7.3	6.2	5.6
Greece	8.6	7.8	7.8	10.2	13.8	22.1
Ireland	4.6	5.6	10.6	13.2	14.7	14.8
Italy	6.1	6.6	6.9	8.8	8.3	10.3
Luxembourg	4.9	4.4	6.1	5.6	4.3	5.0
Netherlands	3.4	2.8	2.8	4.1	4.2	5.0
Portugal	8.2	7.6	8.5	10.5	12.6	15.1
Spain	8.1	9.5	17.4	19.1	20.7	24.1
Sweden	6.6	5.8	8.0	8.7	7.7	7.3
United Kingdom	5.5	5.2	6.6	7.9	7.7	8.1
Bulgaria	7.5	6.1	5.9	8.7	11.4	12.1
Cyprus	4.1	3.7	4.9	6.7	7.3	10.7
Czech Republic	5.6	4.4	5.5	7.9	6.9	6.8
Estonia	4.9	4.0	11.1	15.5	14.3	10.6
Hungary	7.3	7.6	9.2	11.0	11.8	11.1
Latvia	6.4	6.1	16.1	22.3	16.2	15.4
Lithuania	4.6	4.3	15.1	15.8	16.3	13.6
Malta	6.6	5.8	6.7	6.9	6.3	6.1
Poland	10.3	7.4	7.7	9.1	9.3	9.9
Romania	6.6	6.2	5.8	7.6	7.0	7.2
Slovakia	11.3	9.9	10.5	14.1	14.0	13.7
Slovenia	5.2	4.5	5.0	6.2	8.1	8.1
European Union	7.3	6.7	8.3	9.6	9.5	10.3
United States	4.4	5.1	8.5	9.7	8.8	8.2
Japan	4.0	3.9	4.4	4.8	4.6	4.5
