Rank	Athlete	Country	Day 1	Total
1	Aleksei Alipov	Russia	72	121
2	David Kostelecký	Czech Republic	73	121
3	Erminio Frasca	Italy	72	120
4	Giovanni Pellielo	Italy	73	120
5	Michael Diamond	Australia	72	119 .5
6	Josip Glasnović	Croatia	72	119 .5
7	Karsten Bindrich	Germany	71	119
8	Mansher Singh	India	69	117
9	Erik Varga	Slovakia	72	117
10	Jesús Serrano	Spain	68	116
11	Pavel Gurkin	Russia	69	116
12	Manavjit Singh Sandhu	India	70	116
13	Glenn Kable	Fiji	67	115
14	Mário Filipovič	Slovakia	70	115
15	Lee Young-sik	South Korea	70	115
16	Li Yang	China	69	115
17	Yves Tronc	France	69	115
18	Naser Meqlad	Kuwait	71	115
19	Juan Carlos Dasque	Argentina	70	115
20	Graeme Ede	New Zealand	65	114
21	Li Yajun	China	65	113
22	Bret Erickson	United States	65	113
23	Dominic Grazioli	United States	69	113
24	Stefan Rüttgeroth	Germany	66	113
25	Stéphane Clamens	France	65	112
26	Giuseppe Di Salvatore	Canada	66	112
27	Manuel Silva	Portugal	68	111
28	Lee Wung Yew	Singapore	69	110
29	Derek Burnett	Ireland	69	110
30	Ahmed Al-Maktoum	United Arab Emirates	69	110
31	Craig Henwood	Australia	66	109
32	Adham Medhat	Egypt	64	108
33	Alberto Fernández	Spain	63	106
34	Cesar David Menacho Flores	Bolivia	67	106
35	Eric Ang	Philippines	65	106
