Game	Date	Opponent	Score	Location	Record
14	Sat. Dec. 1	@ New Jersey Nets	105-98 (OT)	Continental Airlines Arena	8-6
15	Sun. Dec. 2	@ Toronto Raptors	85-69	Air Canada Centre	9-6
16	Wed. Dec. 5	Denver Nuggets	95-80	FleetCenter	10-6
17	Fri. Dec. 7	Phoenix Suns	109-102 (OT)	FleetCenter	11-6
18	Sat. Dec. 8	@ Chicago Bulls	84-87	United Center	11-7
19	Tue. Dec. 11	@ New York Knicks	102-93 (OT)	Madison Square Garden	12-7
20	Fri. Dec. 14	Chicago Bulls	107-101	FleetCenter	13-7
21	Sat. Dec. 15	@ Charlotte Hornets	106-97	Charlotte Coliseum	14-7
22	Mon. Dec. 17	@ Philadelphia 76ers	83-99	First Union Center	14-8
23	Wed. Dec. 19	Cleveland Cavaliers	104-98	FleetCenter	15-8
24	Fri. Dec. 21	Utah Jazz	98-92	FleetCenter	16-8
25	Sun. Dec. 23	Memphis Grizzlies	85-80	FleetCenter	17-8
26	Wed. Dec. 26	@ Utah Jazz	86-99	Delta Center	17-9
27	Thu. Dec. 27	@ Phoenix Suns	82-84	America West Arena	17-10
28	Sat. Dec. 29	@ Los Angeles Clippers	105-103 (OT)	Staples Center	18-10
29	Sun. Dec. 30	@ Sacramento Kings	94-109	ARCO Arena	18-11
