Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	Newman/Haas Racing	154	1:49:22.498	1	22
Mario Domínguez	Herdez Competition	154	+0.084 secs	6	16
Michel Jourdain, Jr.	Team Rahal	154	+0.245 secs	3	14
Bruno Junqueira	Newman/Haas Racing	154	+12.042 secs	2	12
Oriol Servià	Patrick Racing	154	+12.055 secs	7	10
Darren Manning	Walker Racing	154	+24.602 secs	5	8
Patrick Carpentier	Team Player's	153	+ 1 Lap	17	6
Jimmy Vasser	American Spirit Team Johansson	153	+ 1 Lap	11	5
Rodolfo Lavín	Walker Racing	153	+ 1 Lap	8	4
Roberto Moreno	Herdez Competition	153	+ 1 Lap	12	3
Ryan Hunter-Reay	American Spirit Team Johansson	152	+ 2 Laps	15	2
Paul Tracy	Team Player's	152	+ 2 Laps	16	1
Tiago Monteiro	Fittipaldi-Dingman Racing	152	+ 2 Laps	14	0
Mario Haberfeld	Mi-Jack Conquest Racing	152	+ 2 Laps	4	0
Adrian Fernández	Fernández Racing	152	+ 2 Laps	19	0
Joël Camathias	Dale Coyne Racing	152	+ 2 Laps	18	0
Alex Yoong	Dale Coyne Racing	81	Mechanical	13	0
Alex Tagliani	Rocketsports Racing	28	Mechanical	9	0
Patrick Lemarié	PK Racing	25	Contact	10	0
