Date	Opponent	Score	Loss	Record
August 1	@ Cubs	4–1	Thompson (4–8)	54–54
August 2	@ Cubs	7–2	Telemaco (4–6)	55–54
August 3	@ Cubs	8–2	Bullinger (4–9)	56–54
August 4	@ Cubs	6–1	Castillo (5–13)	57–54
August 5	Marlins	16–9	Freeman (7–8)	57–55
August 6	Marlins	11–0	Burkett (6–10)	58–55
August 7	Marlins	12–5	Leiter (11–10)	59–55
August 9	@ Braves	6–4	Glavine (12–6)	60–55
August 10	@ Braves	9–7 (10)	Wohlers (1–2)	61–55
August 11	@ Braves	4–1	Freeman (7–9)	61–56
August 13	@ Marlins	5–0	Ritz (13–8)	61–57
August 14	@ Marlins	2–1	Leskanic (7–4)	61–58
August 15	@ Marlins	7–6	Ruffin (5–5)	61–59
August 16	@ Reds	8–4	Salkeld (6–4)	62–59
August 17	@ Reds	5–3	Munoz (0–2)	62–60
August 17	@ Reds	9–5	Reed (3–3)	62–61
August 18	@ Reds	9–4	Ritz (13–9)	62–62
August 19	@ Reds	6–3	Portugal (8–9)	63–62
August 20	Cardinals	5–4 (13)	Mathews (2–5)	64–62
August 21	Cardinals	10–2	Benes (13–9)	65–62
August 22	Cardinals	10–5	Morgan (4–7)	66–62
August 23	Pirates	5–3	Ritz (13–10)	66–63
August 24	Pirates	9–3	Peters (1–3)	67–63
August 25	Pirates	13–9	Wilkins (3–1)	68–63
August 26	Reds	9–5 (7)	Jarvis (6–7)	69–63
August 27	Reds	4–3	Reynoso (8–9)	69–64
August 28	Reds	10–9	Shaw (5–5)	70–64
August 29	Reds	18–7	Thompson (7–9)	70–65
August 30	@ Cardinals	7–4	Wright (3–2)	70–66
August 31	@ Cardinals	2–1	Bailey (2–3)	70–67
