Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
Week	Date	Opponent	Result	Kickoff [a ]	Game site	Attendance	Record
1	September 4, 1983	Detroit Lions	L 11-0	1:00	Tampa Stadium	62,154	0-1
2	September 11, 1983	at Chicago Bears	L 17-10	1:00	Soldier Field	58,156	0-2
3	September 18, 1983	Minnesota Vikings	L 19-16 OT	4:00	Tampa Stadium	57,567	0-3
4	September 25, 1983	Cincinnati Bengals	L 23-17	1:00	Tampa Stadium	56,023	0-4
5	October 2, 1983	at Green Bay Packers	L 55-14	1:00	Lambeau Field	54,272	0-5
6	October 9, 1983	at Dallas Cowboys	L 27-24 OT	4:00	Texas Stadium	63,308	0-6
7	October 16, 1983	St. Louis Cardinals	L 34-27	1:00	Tampa Stadium	48,224	0-7
8	October 23, 1983	New Orleans Saints	L 24-21	4:00	Tampa Stadium	48,242	0-8
9	October 30, 1983	at Pittsburgh Steelers	L 17-12	1:00	Three Rivers Stadium	57,648	0-9
10	November 6, 1983	at Minnesota Vikings	W 17-12	1:00	Hubert H. Humphrey Metrodome	59,239	1-9
11	November 13, 1983	at Cleveland Browns	L 20-0	1:00	Cleveland Stadium	56,091	1-10
12	November 20, 1983	Chicago Bears	L 27-0	1:00	Tampa Stadium	36,816	1-11
13	November 27, 1983	Houston Oilers	W 33-24	1:00	Tampa Stadium	38,625	2-11
14	December 4, 1983	at San Francisco 49ers	L 35-21	4:00	Candlestick Park	49,773	2-12
15	December 12, 1983	Green Bay Packers	L 12-9 OT	9:00	Tampa Stadium	50,763	2-13
16	December 18, 1983	at Detroit Lions	L 23-20	4:00	Pontiac Silverdome	78,392	2-14
