Game	November	Opponent	Score	Record
14	3	@ New Jersey Devils	4 - 2	7-4-3
15	5	New Jersey Devils	3 - 2 SO	8-4-3
16	7	Pittsburgh Penguins	3 - 2	8-5-3
17	9	@ Florida Panthers	4 - 3 SO	9-5-3
18	10	@ Tampa Bay Lightning	5 - 2	10-5-3
19	12	@ Pittsburgh Penguins	6 - 1	11-5-3
20	15	@ Toronto Maple Leafs	2 - 1	11-6-3
21	17	@ Carolina Hurricanes	5 - 1	11-7-3
22	19	Carolina Hurricanes	4 - 3	12-7-3
23	20	Boston Bruins	3 - 2	13-7-3
24	22	@ Buffalo Sabres	3 - 2 SO	14-7-3
25	24	@ Atlanta Thrashers	6 - 3	15-7-3
26	26	Washington Capitals	3 - 2 SO	16-7-3
