City	Chinese	Pinyin	Province	Urban Population (2010)	Administrative Population (2010)
Shanghai	上海	Shànghǎi	Municipality	22315426	23019148
Beijing	北京	Běijīng	Municipality	18827000	19612368
Tianjin	天津	Tiānjīn	Municipality	11090314	12937954
Guangzhou	广州	Guǎngzhōu	Guangdong	11070654	12700800
Shenzhen	深圳	Shēnzhèn	Guangdong	10357938	10357938
Dongguan	东莞	Dōngguǎn	Guangdong	8220937	8220937
Chengdu	成都	Chéngdū	Sichuan	7123697	14047625
Nanjing	南京	Nánjīng	Jiangsu	6852984	8004680
Wuhan	武汉	Wǔhàn	Hubei	6434373	9785392
Shenyang	沈阳	Shěnyáng	Liaoning	5743718	8106171
Hangzhou	杭州	Hángzhōu	Zhejiang	5695313	8700400
Chongqing	重庆	Chóngqìng	Municipality	5402721	28846170
Suzhou	苏州	Sūzhōu	Jiangsu	5349000	10465994
Harbin	哈尔滨	Hārbīn	Heilongjiang	5282083	10635971
Jinan	济南	Jǐnán	Shangdong	3922180	6814000
Xi'an	西安	Xī'ān	Shaanxi	3890098	8467837
Wuxi	无锡	Wúxí	Jiangsu	3542319	6372624
Hefei	合肥	Héféi	Anhui	3352076	5702466
Changchun	长春	Chángchūn	Jilin	3341700	7677089
Changzhou	常州	Chángzhōu	Jiangsu	3290548	4591972
Dalian	大连	Dàlián	Liaoning	3266905	6690432
Taiyuan	太原	Tàiyuán	Shanxi	3212500	4201591
Kunming	昆明	Kūnmíng	Yunnan	3184580	6432212
Zhengzhou	郑州	Zhèngzhōu	Henan	3132000	8626505
Changsha	长沙	Chángshā	Hunan	3093980	7044118
Ningbo	宁波	Níngbō	Zhejiang	3089180	7605700
Qingdao	青岛	Qīngdǎo	Shangdong	3063492	8715100
Zibo	淄博	Zībó	Shangdong	3002181	4530600
Fuzhou	福州	Fúzhōu	Fujian	2921763	7115370
