Week	Date	Opponent	Result	Attendance
1	September 11, 1965	Denver Broncos	W 34–31	27,022
2	September 19, 1965	at Oakland Raiders	W 17–6	21,406
3	September 26, 1965	Kansas City Chiefs	T 10–10	28,126
4	October 3, 1965	Houston Oilers	W 31–14	28,190
5	October 10, 1965	at Buffalo Bills	W 34–3	45,260
6	October 17, 1965	at Boston Patriots	T 13–13	20,924
7	October 23, 1965	at New York Jets	W 34–9	60,679
8	October 31, 1965	Boston Patriots	L 22–6	33,366
9	November 7, 1965	at Denver Broncos	W 35–21	33,073
10	November 14, 1965	at Kansas City Chiefs	L 31–7	21,968
11	November 25, 1965	Buffalo Bills	T 20–20	27,473
12	December 4, 1965	New York Jets	W 38–7	32,169
13	December 12, 1965	at Houston Oilers	W 37–26	24,120
14	December 19, 1965	Oakland Raiders	W 24–14	26,056
