Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	78	1:47:22.561	2
Rubens Barrichello	Ferrari	78	+0.431	4
Eddie Irvine	Jaguar - Cosworth	78	+30.698	6
Jacques Villeneuve	BAR - Honda	78	+32.454	9
David Coulthard	McLaren - Mercedes	77	+1 Lap	1
Jean Alesi	Prost - Acer	77	+1 Lap	11
Jenson Button	Benetton - Renault	77	+1 Lap	17
Jos Verstappen	Arrows - Asiatech	77	+1 Lap	19
Enrique Bernoldi	Arrows - Asiatech	76	+2 Laps	20
Kimi Räikkönen	Sauber - Petronas	73	+5 Laps	15
Ralf Schumacher	Williams - BMW	57	Electrical	5
Tarso Marques	Minardi - European	56	Transmission	22
Fernando Alonso	Minardi - European	54	Gearbox	18
Heinz-Harald Frentzen	Jordan - Honda	49	Accident	13
Giancarlo Fisichella	Benetton - Renault	43	Gearbox	10
Jarno Trulli	Jordan - Honda	30	Hydraulics	8
Luciano Burti	Prost - Acer	24	Gearbox	21
Pedro de la Rosa	Jaguar - Cosworth	18	Hydraulics	14
Mika Häkkinen	McLaren - Mercedes	15	Steering	3
Olivier Panis	BAR - Honda	13	Steering	12
Juan Pablo Montoya	Williams - BMW	2	Spun off	7
Nick Heidfeld	Sauber - Petronas	0	Collision	16
