Season	Games	Lost	Tied	Points	Goals for	Goals against	Standing
1997–98	70	46	5	43	211	295	6th, Dilio
1998–99	70	44	4	48	226	272	6th, Dilio
1999–2000	72	39	3	57	230	302	3rd, Maritimes
2000–01	72	37	4	65	270	292	2nd, Maritimes
2001–02	72	20	10	90	286	224	3rd, Maritimes
2002–03	72	37	9	56	200	268	4th, Maritimes
2003–04	70	16	2	103	273	164	1st, Atlantic
2004–05	70	27	8	75	206	195	3rd, Atlantic
2005–06	70	23	–	87	236	206	3rd, Eastern
2006–07	70	22	–	94	308	200	2nd, Eastern
2007–08	70	24	–	86	242	230	4th, Eastern
2008–09	68	18	–	96	252	201	2nd, Atlantic
2009–10	68	22	–	87	238	185	3rd, Atlantic
2010–11	68	45	–	41	154	246	5th, Maritimes
2011–12	68	42	–	49	219	306	5th, Maritimes
2012–13	68	46	–	36	161	308	6th, Maritimes
