First Vice President	Second Vice President	Third Vice president	Inaugurated	Left Office
Gen. Mauro de León	Rodolfo Sandoval	Col. Baudilio Santos Deroga	26 March 1928	15 March 1929
Gen. Rodolfo A. Mendoza	Arturo Ramirez	Antonio Rivera	15 March 1929	15 March 1930
Mario León	Baudelio Palma	Luis Chacón	15 March 1930	1 January 1931
José María Reina Andrade	Gen. José Reyes	Gen. Rodrigo G. Solórzano	1 January 1931	15 March 1931
Mariano J. López	Gen. Rodrigo G. Solórzano	Manuel Franco R.	15 March 1931	15 March 1932
Gen. Factor Méndez	Col. Pedro Reyes Reinelas	Miguel T. Alvarado	15 March 1932	15 March 1933
Gen. Factor Méndez	Col. Pedro Reyes Reinelas	Felipe Samayoa	15 March 1933	15 March 1934
Gen. Pedro Reyes Reinelas	Mariano J. López	Col. Carlos Enríquez Barrios	15 March 1934	15 March 1935
Gen. Pedro Reyes Reynuelas	Gen. Carlos Jurado R.	José Mariano Trabanino	15 March 1935	15 March 1936
Eduardo Pérez Figueroa	Gen. Carlos Jurado R.	Gen. Factor Méndez	15 March 1936	15 March 1937
Gen. Pedro Reyes Reynelas	Eduardo Pérez Figueroa	Gen. Carlos Jurado R.	15 March 1937	15 March 1938
Escolástico de León	Gen. Demetrio Maldonado	Gen. Juan Alonso	15 March 1938	15 March 1939
Mariano López	Gen. Demetrio Maldonado	Gen. Juan B. Alojos	15 March 1939	15 March 1940
Mariano López	Gen. Demetrio Maldonado	Gen. Juan Alonso	15 March 1940	15 March 1941
Mariano López	Gen. Demetrio Maldonado	Gen. Pedro Reyes Reynelas	15 March 1941	15 March 1942
Gen. Demetrio Maldonado	Carlos Herrera Dorián	Gen. Pedro Reyes Renelas	15 March 1942	4 July 1944
Gen. Federico Ponce Vaides	Gen. Domingo Solares	Ramón Calderón	4 July 1944	28 November 1944
