Team	Outgoing manager	Manner of departure	Date of vacancy	Replaced by	Date of appointment
Ascoli	Giuseppe Pillon	End of contract	1 Cannot handle non-empty timestamp argument! 2010	Elio Gustinetti	1 Cannot handle non-empty timestamp argument! 2010
Siena	Alberto Malesani	End of contract	1 Cannot handle non-empty timestamp argument! 2010	Antonio Conte	1 Cannot handle non-empty timestamp argument! 2010
Livorno	Gennaro Ruotolo	End of caretaker spell	1 Cannot handle non-empty timestamp argument! 2010	Giuseppe Pillon	1 Cannot handle non-empty timestamp argument! 2010
Empoli	Salvatore Campilongo	End of contract	1 Cannot handle non-empty timestamp argument! 2010	Alfredo Aglietti	1 Cannot handle non-empty timestamp argument! 2010
Piacenza	Massimo Ficcadenti	End of contract	1 Cannot handle non-empty timestamp argument! 2010	Armando Madonna	7 Cannot handle non-empty timestamp argument! 2010
Sassuolo	Stefano Pioli	Mutual consent	1 Cannot handle non-empty timestamp argument! 2010	Daniele Arrigoni	1 Cannot handle non-empty timestamp argument! 2010
Torino	Stefano Colantuono	Resigned	1 Cannot handle non-empty timestamp argument! 2010	Franco Lerda	1 Cannot handle non-empty timestamp argument! 2010
Atalanta	Bortolo Mutti	End of contract	1 Cannot handle non-empty timestamp argument! 2010	Stefano Colantuono	1 Cannot handle non-empty timestamp argument! 2010
Crotone	Franco Lerda	End of contract	1 Cannot handle non-empty timestamp argument! 2010	Leonardo Menichini	1 Cannot handle non-empty timestamp argument! 2010
Reggina	Roberto Breda	End of contract	1 Cannot handle non-empty timestamp argument! 2010	Gianluca Atzori	1 Cannot handle non-empty timestamp argument! 2010
Padova	Carlo Sabatini	End of contract	1 Cannot handle non-empty timestamp argument! 2010	Alessandro Calori	2 Cannot handle non-empty timestamp argument! 2010
Portoguraro	Alessandro Calori	Mutual consent	2 Cannot handle non-empty timestamp argument! 2010	Eugenio Corini	5 Cannot handle non-empty timestamp argument! 2010
