Driver	Constructor	Laps	Time/Retired	Grid
Damon Hill	Williams - Renault	77	1:47:39.098	2
Riccardo Patrese	Benetton - Ford	77	+1:11.915	5
Gerhard Berger	Ferrari	77	+1:18.042	6
Derek Warwick	Footwork - Mugen-Honda	76	+1 Lap	9
Martin Brundle	Ligier - Renault	76	+1 Lap	13
Karl Wendlinger	Sauber	76	+1 Lap	17
Mark Blundell	Ligier - Renault	76	+1 Lap	12
Philippe Alliot	Larrousse - Lamborghini	75	+2 Laps	19
Thierry Boutsen	Jordan - Hart	75	+2 Laps	24
Ukyo Katayama	Tyrrell - Yamaha	73	+4 Laps	23
Andrea de Cesaris	Tyrrell - Yamaha	72	+5 Laps	22
Alain Prost	Williams - Renault	70	+7 Laps	1
Pierluigi Martini	Minardi - Ford	59	Accident	7
Érik Comas	Larrousse - Lamborghini	54	Engine	18
Alessandro Zanardi	Lotus - Ford	45	Gearbox	21
Aguri Suzuki	Footwork - Mugen-Honda	41	Spun off	10
Michele Alboreto	Lola - Ferrari	39	Overheating	25
Johnny Herbert	Lotus - Ford	38	Spun off	20
Luca Badoer	Lola - Ferrari	37	Spun off	26
Michael Schumacher	Benetton - Ford	26	Fuel pump	3
Christian Fittipaldi	Minardi - Ford	22	Suspension	14
Jean Alesi	Ferrari	22	Spun off	8
JJ Lehto	Sauber	18	Engine	15
Ayrton Senna	McLaren - Ford	17	Throttle	4
Michael Andretti	McLaren - Ford	15	Throttle	11
Rubens Barrichello	Jordan - Hart	0	Accident	16
