Year	Film	Role	Leading Man	Director
1927	Broadway Nights	Fan dancer (uncredited)	—	Joseph C. Boyle
1929	The Locked Door	Ann Carter	Rod La Rocque	George Fitzmaurice
1929	Mexicali Rose	Mexicali Rose	Sam Hardy	Erle C. Kenton
1930	Ladies of Leisure	Kay Arnold	Lowell Sherman	Frank Capra
1930	Ladies of Leisure	Kay Arnold	Ralph Graves	Frank Capra
1931	Illicit	Anne Vincent Ives	James Rennie	Archie Mayo
1931	Illicit	Anne Vincent Ives	Ricardo Cortez	Archie Mayo
1931	Ten Cents a Dance	Barbara O'Neill	Ricardo Cortez	Lionel Barrymore
1931	Night Nurse	Lora Hart	Ben Lyon	William A. Wellman
1931	Night Nurse	Lora Hart	Clark Gable	William A. Wellman
1931	The Miracle Woman	Florence "Faith" Fallon	David Manners	Frank Capra
1932	Forbidden	Lulu Smith	Adolphe Menjou	Frank Capra
1932	Forbidden	Lulu Smith	Ralph Bellamy	Frank Capra
1932	Shopworn	Kitty Lane	Regis Toomey	Nicholas Grinde
1932	So Big!	Selina Peake De Jong	George Brent	William A. Wellman
1932	The Purchase Price	Joan Gordon, aka Francine La Rue	George Brent	William A. Wellman
1932	The Purchase Price	Joan Gordon, aka Francine La Rue	Lyle Talbot	William A. Wellman
1933	The Bitter Tea of General Yen	Megan Davis	Nils Asther	Frank Capra
1933	Ladies They Talk About	Nan Taylor, Alias of Nan Ellis, aka Mrs. Andrews	Preston Foster	Howard Bretherton
1933	Ladies They Talk About	Nan Taylor, Alias of Nan Ellis, aka Mrs. Andrews	Lyle Talbot	William Keighley
1933	Baby Face	Lily Powers	George Brent	Alfred E. Green
1933	Ever in My Heart	Mary Archer Wilbrandt	Otto Kruger	Archie Mayo
1933	Ever in My Heart	Mary Archer Wilbrandt	Ralph Bellamy	Archie Mayo
1934	Gambling Lady	Lady Lee	Joel McCrea	Archie Mayo
1934	Gambling Lady	Lady Lee	Pat O'Brien	Archie Mayo
1934	A Lost Lady	Marian Ormsby Forrester	Frank Morgan	Alfred E. Green
1934	A Lost Lady	Marian Ormsby Forrester	Ricardo Cortez	Alfred E. Green
1934	The Secret Bride	Ruth Vincent	Warren William	William Dieterle
1935	The Woman in Red	Shelby Barret Wyatt	Gene Raymond	Robert Florey
1935	Red Salute	Drue Van Allen	Robert Young	Sidney Lansfield
1935	Annie Oakley	Annie Oakley	Preston Foster	George Stevens
1935	Annie Oakley	Annie Oakley	Melvyn Douglas	George Stevens
1936	A Message to Garcia	Raphaelita Maderos	Wallace Beery	George Marshall
1936	A Message to Garcia	Raphaelita Maderos	John Boles	George Marshall
1936	The Bride Walks Out	Carolyn Martin	Gene Raymond	Leigh Jason
1936	The Bride Walks Out	Carolyn Martin	Robert Young	Leigh Jason
1936	His Brother's Wife	Rita Wilson Claybourne	Robert Taylor	W. S. Van Dyke
1936	Banjo on My Knee	Pearl Elliott Holley	Joel McCrea	John Cromwell
1936	The Plough and the Stars	Nora Clitheroe	Preston Foster	John Ford
1937	Internes Can't Take Money	Janet Haley	Joel McCrea	Alfred Santell
1937	This Is My Affair	Lil Duryea	Robert Taylor	William A. Seiter
1937	Stella Dallas	Stella Martin "Stell" Dallas	John Boles	King Vidor
1937	Breakfast for Two	Valentine "Val" Ransome	Herbert Marshall	Alfred Santell
1938	Always Goodbye	Margot Weston	Herbert Marshall	Sidney Lansfield
1938	The Mad Miss Manton	Melsa Manton	Henry Fonda	Leigh Jason
1939	Union Pacific	Mollie Monahan	Joel McCrea	Cecil B. DeMille
1939	Union Pacific	Mollie Monahan	Robert Preston	Cecil B. DeMille
1939	Golden Boy	Lorna Moon	William Holden	Rouben Mamoulian
1939	Golden Boy	Lorna Moon	Adolphe Menjou	Rouben Mamoulian
1940	Remember the Night	Lee Leander	Fred MacMurray	Mitchell Leisen
1941	The Lady Eve	Jean Harrington	Henry Fonda	Preston Sturges
1941	Meet John Doe	Ann Mitchell	Gary Cooper	Frank Capra
1941	You Belong to Me	Dr. Helen Hunt	Henry Fonda	Wesley Ruggles
1941	Ball of Fire	Katherine "Sugarpuss" O'Shea	Gary Cooper	Howard Hawks
1942	The Great Man's Lady	Hannah Sempler	Joel McCrea	William A. Wellman
1942	The Gay Sisters	Fiona Gaylord	George Brent	Irving Rapper
1943	Lady of Burlesque	Deborah Hoople, aka Dixie Daisy	Michael O'Shea	William A. Wellman
1943	Flesh and Fantasy	Joan Stanley	Charles Boyer	Julien Duvivier
1944	Double Indemnity	Phyllis Dietrichson	Fred MacMurray	Billy Wilder
1944	Double Indemnity	Phyllis Dietrichson	Edward G. Robinson	Billy Wilder
1944	Hollywood Canteen	Herself	—	Delmer Daves
1945	Christmas in Connecticut	Elizabeth Lane	Dennis Morgan	Peter Godfrey
1946	My Reputation	Jessica Drummond	George Brent	Curtis Bernhardt
1946	The Bride Wore Boots	Sally Warren	Robert Cummings	Irving Pichel
1946	The Strange Love of Martha Ivers	Martha Ivers	Van Heflin	Lewis Milestone
1946	The Strange Love of Martha Ivers	Martha Ivers	Kirk Douglas	Lewis Milestone
1946	California	Lily Bishop	Ray Milland	John Farrow
1947	The Two Mrs. Carrolls	Sally Morton Carroll	Humphrey Bogart	Peter Godfrey
1947	The Other Love	Karen Duncan	David Niven	André de Toth
1947	Cry Wolf	Sandra Marshall	Errol Flynn	Peter Godfrey
1947	Variety Girl	Herself	—	George Marshall
1948	B.F.'s Daughter	Pauline "Polly" Fulton Brett	Van Heflin	Robert Z. Leonard
1948	Sorry, Wrong Number	Leona Stevenson	Burt Lancaster	Anatole Litvak
1949	The Lady Gambles	Joan Phillips Boothe	Robert Preston	Michael Gordon
1949	East Side, West Side	Jessie Bourne	James Mason	Mervyn LeRoy
1950	The File on Thelma Jordon	Thelma Jordon	Wendell Corey	Robert Siodmak
1950	No Man of Her Own	Helen Ferguson/Patrice Harkness	John Lund	Mitchell Leisen
1950	The Furies	Vance Jeffords	Wendell Corey	Anthony Mann
1950	To Please a Lady	Regina Forbes	Clark Gable	Clarence Brown
1951	The Man with a Cloak	Lorna Bounty	Joseph Cotten	Fletcher Markle
1952	Clash by Night	Mae Doyle D'Amato	Paul Douglas	Fritz Lang
1952	Clash by Night	Mae Doyle D'Amato	Robert Ryan	Fritz Lang
1953	Jeopardy	Helen Stilwin	Ralph Meeker	John Sturges
