Date	Tournament	Surface	Partner	Opponent in the final	Score
November 21, 1999	Pattaya City	Hard	Åsa Carlsson	Evgenia Koulikovskaya Patricia Wartusch	6–1, 6–4
January 16, 2000	Hobart	Hard	Rita Grande	Kim Clijsters Alicia Molik	6–2, 2–6, 6–3
February 18, 2001	Nice	Carpet (I)	Anne-Gaëlle Sidot	Kimberly Po Nathalie Tauziat	1–6, 6–2, 6–0
April 21, 2002	Budapest	Clay	Catherine Barclay	Elena Bovina Zsófia Gubacsi	4–6, 6–3, 6–3
January 12, 2003	Canberra	Hard	Tathiana Garbin	Dája Bedáňová Dinara Safina	6–3, 3–6, 6–4
March 2, 2003	Acapulco	Clay	Åsa Svensson	Petra Mandula Patricia Wartusch	6–3, 6–1
September 21, 2003	Shanghai	Hard	Nicole Pratt	Ai Sugiyama Tamarine Tanasugarn	6–3, 6–3
April 11, 2004	Casablanca	Clay	Marion Bartoli	Els Callens Katarina Srebotnik	6–4, 6–2
May 8, 2005	Rabat	Clay	Barbora Strýcová	Lourdes Domínguez Lino Nuria Llagostera Vives	3–6, 7–6(6), 7–5
May 15, 2005	Prague	Clay	Nicole Pratt	Jelena Kostanić Barbora Strýcová	6–7(6), 6–4, 6–4
August 14, 2005	Stockholm	Hard	Katarina Srebotnik	Eva Birnerová Mara Santangelo	6–4, 6–3
August 31, 2005	Budapest	Clay	Katarina Srebotnik	Lourdes Domínguez Lino Marta Marrero	6–1, 3–6, 6–2
October 9, 2005	Tashkent	Hard	Maria Elena Camerin	Anastasia Rodionova Galina Voskoboeva	6–3, 6–0
October 30, 2005	Hasselt	Hard (I)	Katarina Srebotnik	Michaëlla Krajicek Ágnes Szávay	6–3, 6–4
January 13, 2006	Hobart	Hard	Nicole Pratt	Jill Craybas Jelena Kostanić	6–2, 6–1
February 12, 2006	Paris	Carpet (I)	Květa Peschke	Cara Black Rennae Stubbs	7–6(5), 6–4
