Round	Circuit	Date	Pole Position	Fastest Lap	Winning Driver	Winning Team
1	Hockenheimring	1 May	Bruno Spengler	Bruno Spengler	Bruno Spengler	HWA Team
2	Circuit Park Zandvoort	15 May	Bruno Spengler	Mike Rockenfeller	Mike Rockenfeller	Abt Sportsline
3	Red Bull Ring , Spielberg	5 June	Martin Tomczyk	Bruno Spengler	Martin Tomczyk	Team Phoenix
4	EuroSpeedway Lausitz	19 June	Bruno Spengler	Timo Scheider	Martin Tomczyk	Team Phoenix
5	Norisring , Nuremberg	3 July	Bruno Spengler	Jamie Green	Bruno Spengler	HWA Team
NC	Showevent Olympiastadion München	16 July	Inter-marque races	Inter-marque races	Edoardo Mortara	Team Rosberg
NC	Showevent Olympiastadion München	17 July	Knockout races	Knockout races	Bruno Spengler	HWA Team
6	Nürburgring	7 August	Mattias Ekström	David Coulthard	Mattias Ekström	Abt Sportsline
7	Brands Hatch , Kent	4 September	Mike Rockenfeller	Martin Tomczyk	Martin Tomczyk	Team Phoenix
8	Motorsport Arena Oschersleben	18 September	Miguel Molina	Mattias Ekström	Mattias Ekström	Abt Sportsline
9	Circuit Ricardo Tormo , Valencia	2 October	Mattias Ekström	Timo Scheider	Mattias Ekström	Abt Sportsline
