Stage	Winner	General classification	Points classification	Mountains classification	Young rider classification
1	Team Columbia-High Road	Mark Cavendish	no award	no award	Mark Cavendish
2	Alessandro Petacchi	Mark Cavendish	Alessandro Petacchi	David García	Mark Cavendish
3	Alessandro Petacchi	Alessandro Petacchi	Alessandro Petacchi	Mauro Facci	Tyler Farrar
4	Stefano Garzelli	Thomas Löfkvist	Alessandro Petacchi	Danilo Di Luca	Thomas Löfkvist
5	Denis Menchov	Danilo Di Luca	Alessandro Petacchi	Danilo Di Luca	Thomas Löfkvist
6	Michele Scarponi	Danilo Di Luca	Danilo Di Luca	Danilo Di Luca	Thomas Löfkvist
7	Edvald Boasson Hagen	Danilo Di Luca	Danilo Di Luca	Danilo Di Luca	Thomas Löfkvist
8	Kanstantsin Siutsou	Danilo Di Luca	Danilo Di Luca	Danilo Di Luca	Thomas Löfkvist
9	Mark Cavendish	Danilo Di Luca	Danilo Di Luca	Danilo Di Luca	Thomas Löfkvist
10	Danilo Di Luca	Danilo Di Luca	Danilo Di Luca	Stefano Garzelli	Thomas Löfkvist
11	Mark Cavendish	Danilo Di Luca	Danilo Di Luca	Stefano Garzelli	Thomas Löfkvist
12	Denis Menchov	Denis Menchov	Danilo Di Luca	Stefano Garzelli	Thomas Löfkvist
13	Mark Cavendish	Denis Menchov	Danilo Di Luca	Stefano Garzelli	Thomas Löfkvist
14	Simon Gerrans	Denis Menchov	Danilo Di Luca	Stefano Garzelli	Thomas Löfkvist
15	Leonardo Bertagnolli	Denis Menchov	Danilo Di Luca	Stefano Garzelli	Thomas Löfkvist
16	Carlos Sastre	Denis Menchov	Danilo Di Luca	Stefano Garzelli	Kevin Seeldraeyers
17	Franco Pellizotti	Denis Menchov	Danilo Di Luca	Stefano Garzelli	Kevin Seeldraeyers
18	Michele Scarponi	Denis Menchov	Danilo Di Luca	Stefano Garzelli	Kevin Seeldraeyers
19	Carlos Sastre	Denis Menchov	Danilo Di Luca	Stefano Garzelli	Kevin Seeldraeyers
20	Philippe Gilbert	Denis Menchov	Danilo Di Luca	Stefano Garzelli	Kevin Seeldraeyers
21	Ignatas Konovalovas	Denis Menchov	Danilo Di Luca	Stefano Garzelli	Kevin Seeldraeyers
Final	Final	Denis Menchov	Danilo Di Luca Denis Menchov	Stefano Garzelli	Kevin Seeldraeyers
