District	Region	Communes	Population (2002 census)	% of total population	VAP	Enrolled	Total votes	Valid votes	Turnout	E/VAP	T/VAP	V/VAP
1	Arica and Parinacota	Arica , Camarones , Putre , General Lagos	189644	1.3%	131900	111699	82438	74721	73.8%	84.7%	62.5%	56.6%
4	Antofagasta	Antofagasta , Mejillones , Sierra Gorda , Taltal	318779	2.1%	274313	148543	124270	110858	83.7%	54.2%	45.3%	40.4%
5	Atacama	Chañaral , Diego de Almagro , Copiapó	161223	1.1%	128050	79247	66737	61076	84.2%	61.9%	52.1%	47.7%
8	Coquimbo	Coquimbo , Ovalle , Río Hurtado	265896	1.8%	229291	129887	114297	106372	88.0%	56.6%	49.8%	46.4%
12	Valparaíso	Olmué , Limache , Villa Alemana , Quilpué	277525	1.8%	253998	155295	136331	121650	87.8%	61.1%	53.7%	47.9%
13	Valparaíso	Valparaíso , Juan Fernández , Isla de Pascua	280406	1.9%	210529	173947	145787	130751	83.8%	82.6%	69.2%	62.1%
14	Valparaíso	Viña del Mar , Concón	319204	2.1%	261273	202518	174962	159004	86.4%	77.5%	67.0%	60.9%
16	Santiago	Colina , Lampa , Tiltil , Quilicura , Pudahuel	454969	3.0%	442415	196354	181399	164475	92.4%	44.4%	41.0%	37.2%
17	Santiago	Conchalí , Renca , Huechuraba	340844	2.3%	237603	174946	157655	140469	90.1%	73.6%	66.4%	59.1%
18	Santiago	Cerro Navia , Quinta Normal , Lo Prado	356640	2.4%	236121	185340	166885	150425	90.0%	78.5%	70.7%	63.7%
19	Santiago	Recoleta , Independencia	213699	1.4%	138808	131104	115167	102642	87.8%	94.4%	83.0%	73.9%
20	Santiago	Estación Central , Cerrillos , Maipú	670690	4.4%	699393	294624	267571	241446	90.8%	42.1%	38.3%	34.5%
21	Santiago	Providencia , Ñuñoa	284385	1.9%	224404	219453	190697	177839	86.9%	97.8%	85.0%	79.2%
22	Santiago	Santiago	200792	1.3%	138022	139240	119474	108786	85.8%	100.9%	86.6%	78.8%
23	Santiago	Las Condes , Vitacura , Lo Barnechea	406141	2.7%	356860	256711	228983	215643	89.2%	71.9%	64.2%	60.4%
24	Santiago	La Reina , Peñalolén	312822	2.1%	248132	163297	148120	135303	90.7%	65.8%	59.7%	54.5%
25	Santiago	Macul , San Joaquín , La Granja	342680	2.3%	232383	181069	161616	142146	89.3%	77.9%	69.5%	61.2%
26	Santiago	La Florida	365674	2.4%	303912	168849	154173	141103	91.3%	55.6%	50.7%	46.4%
27	Santiago	El Bosque , La Cisterna , San Ramón	355618	2.4%	243119	189698	169440	149776	89.3%	78.0%	69.7%	61.6%
28	Santiago	Pedro Aguirre Cerda , San Miguel , Lo Espejo	306232	2.0%	203393	183352	162779	146294	88.8%	90.1%	80.0%	71.9%
30	Santiago	San Bernardo , Buin , Paine , Calera de Tango	378444	2.5%	322710	185875	169866	152201	91.4%	57.6%	52.6%	47.2%
32	O'Higgins	Rancagua	214344	1.4%	175330	108471	98630	90298	90.9%	61.9%	56.3%	51.5%
37	Maule	Talca	201797	1.3%	171840	101083	90845	83967	89.9%	58.8%	52.9%	48.9%
43	Biobío	Talcahuano , Hualpén	250348	1.7%	192901	137077	118209	107257	86.2%	71.1%	61.3%	55.6%
44	Biobío	Concepción , San Pedro de la Paz , Chiguayante	377810	2.5%	320848	206846	180532	167843	87.3%	64.5%	56.3%	52.3%
50	Araucanía	Temuco , Padre Las Casas	304142	2.0%	265574	150388	128930	120052	85.7%	56.6%	48.5%	45.2%
53	Los Ríos	Valdivia , Lanco , Mariquina , Máfil , Corral	186565	1.2%	149295	107308	90736	83776	84.6%	71.9%	60.8%	56.1%
55	Los Lagos	Osorno , San Juan de la Costa , San Pablo	164468	1.1%	129621	97096	84502	77595	87.0%	74.9%	65.2%	59.9%
