Date	Tournament	Location	Winner	Score	Winner's share ( $ )
Jan 9	Glen Campbell-Los Angeles Open	California	George Archer (9)	270 (–14)	25,000
Jan 16	Bing Crosby National Pro-Am	California	Jack Nicklaus (39)	284 (–4)	28,000
Jan 23	Tucson Open	Arizona	Miller Barber (7)	273 (–15)	30,000
Jan 30	Andy Williams-San Diego Open Invitational	California	Paul Harney (6)	275 (–13)	30,000
Feb 6	Hawaiian Open	Hawaii	Grier Jones (1)	274 (–14)	40,000
Feb 13	Bob Hope Desert Classic	California	Bob Rosburg (6)	344 (–16)	29,000
Feb 20	Phoenix Open	Arizona	Homero Blancas (3)	273 (–11)	25,000
Feb 27	Jackie Gleason's Inverrary Classic	Florida	Tom Weiskopf (5)	278 (–10)	52,000
Mar 5	Doral-Eastern Open	Florida	Jack Nicklaus (40)	276 (–12)	30,000
Mar 12	Florida Citrus Open	Florida	Jerry Heard (2)	276 (–12)	30,000
Mar 19	Greater Jacksonville Open	Florida	Tony Jacklin (4)	283 (–5)	25,000
Mar 26	Greater New Orleans Open	Louisiana	Gary Player (16)	279 (–9)	58,000
Apr 2	Greater Greensboro Open	North Carolina	George Archer (10)	272 (–12)	40,000
Apr 9	Masters Tournament	Georgia	Jack Nicklaus (41)	286 (–2)	25,000
Apr 16	Monsanto Open	Florida	Dave Hill (9)	271 (–13)	30,000
Apr 23	Tallahassee Open	Florida	Bob Shaw (1)	273 (–15)	15,000
Apr 23	Tournament of Champions	California	Bobby Mitchell (2)	280 (–8)	33,000
May 1	Byron Nelson Golf Classic	Texas	Chi Chi Rodriguez (6)	273 (–7)	25,000
May 7	Houston Open	Texas	Bruce Devlin (7)	278 (–10)	25,000
May 14	Colonial National Invitation	Texas	Jerry Heard (3)	275 (–5)	25,100
May 21	Danny Thomas Memphis Classic	Tennessee	Lee Trevino (12)	281 (+1)	35,000
May 28	Atlanta Classic	Georgia	Bob Lunn (6)	275 (–13)	26,000
Jun 4	Kemper Open	North Carolina	Doug Sanders (20)	275 (–13)	35,000
Jun 11	IVB-Philadelphia Golf Classic	Pennsylvania	J. C. Snead (3)	282 (–6)	30,000
Jun 18	U.S. Open	California	Jack Nicklaus (42)	290 (+2)	30,000
Jun 28	Western Open	Illinois	Jim Jamieson (1)	271 (–13)	30,000
Jul 3	Cleveland Open	Ohio	David Graham (1)	278 (–6)	30,000
Jul 9	Canadian Open	Canada	Gay Brewer (10)	275 (–9)	30,000
Jul 15	British Open	Scotland	Lee Trevino (13)	278 (–6)	13,750
Jul 16	Greater Milwaukee Open	Wisconsin	Jim Colbert (2)	271 (–13)	25,000
Jul 23	American Golf Classic	Ohio	Bert Yancey (7)	276 (–4)	30,000
Jul 30	National Team Championship	Pennsylvania	Babe Hiskey (3) & Kermit Zarley (3)	262 (–22)	20,000 (each)
Aug 6	PGA Championship	Michigan	Gary Player (17)	281 (+1)	45,000
Aug 13	Westchester Classic	New York	Jack Nicklaus (43)	270 (–18)	50,000
Aug 20	USI Classic	Massachusetts	Bruce Devlin (8)	275 (–13)	40,000
Aug 27	U.S. Professional Match Play Championship	North Carolina	Jack Nicklaus (44)	2 & 1	40,000
Aug 27	Liggett & Myers Open	North Carolina	Lou Graham (2)	285 (–3)	20,000
Sep 4	Greater Hartford Open Invitational	Connecticut	Lee Trevino (14)	269 (–15)	25,000
Sep 10	Southern Open	Georgia	DeWitt Weaver (2)	276 (–4)	20,000
Sep 17	Greater St. Louis Golf Classic	Missouri	Lee Trevino (15)	269 (–11)	30,000
Sep 24	Robinson's Fall Golf Classic	Illinois	Grier Jones (2)	273 (–11)	20,000
Oct 1	Quad Cities Open	Iowa	Deane Beman (3)	279 (–5)	20,000
Oct 22	Kaiser International Open Invitational	California	George Knudson (7)	271 (–17)	30,000
Oct 29	Sahara Invitational	Nevada	Lanny Wadkins (1)	273 (–15)	27,000
Nov 5	San Antonio Texas Open	Texas	Mike Hill (2)	273 (–15)	25,000
Nov 26	Sea Pines Heritage Classic	South Carolina	Johnny Miller (2)	281 (–4)	25,000
Dec 3	Walt Disney World Open Invitational	Florida	Jack Nicklaus (45)	267 (–21)	30,000
