Date	Visitor	Score	Home	Decision	Attendance	Record
October 3	Dallas	3 – 4	Colorado	Turco	17,487	0–1–0
October 5	Boston	1 – 4	Dallas	Turco	18,532	1–1–0
October 6	Dallas	1 – 5	Nashville	Smith	13,079	1–2–0
October 10	Los Angeles	1 – 5	Dallas	Turco	16,129	2–2–0
October 12	Calgary	3 – 2	Dallas	Turco	17,132	2–2–1
October 13	Dallas	1 – 2	Chicago	Stephan	11,868	2–2–2
October 17	Dallas	3 – 2	Columbus	Smith	11,820	3–2–2
October 20	Anaheim	1 – 3	Dallas	Turco	18,057	4–2–2
October 25	Dallas	1 – 2	Los Angeles	Turco	14,559	4–3–2
October 27	Dallas	5 – 3	Phoenix	Smith	13,741	5–3–2
October 29	San Jose	4 – 2	Dallas	Turco	17,546	5–4–2
October 31	Chicago	5 – 4	Dallas	Smith	14,756	5–5–2
