Game	Date	Opponent	Result	Bills points	Opponents	Bills first downs	Record
1	Sept. 16	at New England Patriots	Win	31	13	23	1–0
2	Sept. 23	at San Diego Chargers	Loss	7	34	16	1–1
3	Sept. 30	New York Jets	Win	9	7	15	2–1
4	Oct. 7	Philadelphia Eagles	Win	27	26	16	3–1
5	Oct. 14	Baltimore Colts	Win	31	13	18	4–1
6	Oct. 21	at Miami Dolphins	Loss	6	27	8	4–2
7	Oct. 29	Kansas City Chiefs	Win	23	14	21	5–2
8	Nov. 4	at New Orleans Saints	Loss	0	13	10	5–3
9	Nov. 11	Cincinnati Bengals	Loss	13	16	10	5–4
10	Nov. 18	Miami Dolphins	Loss	0	17	15	5–5
11	Nov. 25	at Baltimore Colts	Win	24	17	16	6–5
12	Dec. 2	at Atlanta Falcons	Win	17	6	17	7–5
13	Dec. 9	New England Patriots	Win	37	13	13	8–5
14	Dec. 16	at New York Jets	Win	34	14	21	9–5
