Week	Date	Opponent	Result	Attendance
1	September 17, 1967	at Minnesota Vikings	W 27-21	39,638
2	September 24, 1967	Atlanta Falcons	W 38-7	30,207
3	October 1, 1967	at Baltimore Colts	L 41-7	60,238
4	October 8, 1967	at Los Angeles Rams	W 27-24	60,424
5	October 15, 1967	at Philadelphia Eagles	W 28-27	60,825
6	October 22, 1967	New Orleans Saints	W 27-13	34,285
7	October 29, 1967	Detroit Lions	L 45-3	37,990
8	November 5, 1967	Los Angeles Rams	L 17-7	53,194
9	November 12, 1967	at Washington Redskins	L 31-28	50,326
10	November 19, 1967	at Green Bay Packers	L 26-9	50,861
11	November 26, 1967	Baltimore Colts	L 26-9	44,815
12	December 3, 1967	Chicago Bears	L 28-14	25,613
13	December 10, 1967	at Atlanta Falcons	W 34-28	51,798
14	December 16, 1967	Dallas Cowboys	W 24-16	27,182
