Game	January	Opponent	Score	Record	Points
39	3	@ Washington Capitals	4–1	26–11–2	54
40	6	New Jersey Devils	4–0	27–11–2	56
41	7	@ New York Rangers	6–3	28–11–2	58
42	10	@ Boston Bruins	5–4	29–11–2	60
43	11	Washington Capitals	2–2 OT	29–11–3	61
44	15	Montreal Canadiens	6–3	30–11–3	63
45	17	@ New York Islanders	4–2	31–11–3	65
46	18	New York Islanders	1–3	31–12–3	65
47	21	@ Chicago Blackhawks	5–5 OT	31–12–4	66
48	23	Chicago Blackhawks	4–3	32–12–4	68
49	24	@ New Jersey Devils	3–4	32–13–4	68
50	28	@ Buffalo Sabres	7–4	33–13–4	70
51	29	Pittsburgh Penguins	5–3	34–13–4	72
52	31	New York Rangers	1–3	34–14–4	72
