Cartridge	Bullet weight	Muzzle velocity	Muzzle energy	Max pressure
.38 Short Colt	gr (g)	ft/s (m/s)	181ft•lbf (245 J)	7,500 CUP
.38 Long Colt	gr (g)	ft/s (m/s)	201ft•lbf (273 J)	12,000 CUP
.38 S&W	gr (g)	ft/s (m/s)	206ft•lbf (279 J)	14,500 PSI
.38 S&W Special	gr (g)	ft/s (m/s)	310ft•lbf (420 J)	17,000 PSI
.38 Special +P	gr (g)	ft/s (m/s)	351ft•lbf (476 J)	20,000 PSI
.38 Special +P+	gr (g)	ft/s (m/s)	295ft•lbf (400 J)	>20,000 PSI
.380 ACP	gr (g)	ft/s (m/s)	178ft•lbf (241 J)	21,500 PSI
9x19mm Parabellum	gr (g)	ft/s (m/s)	420ft•lbf (570 J)	39,200 PSI
9x19mm Parabellum	gr (g)	ft/s (m/s)	383ft•lbf (520 J)	39,200 PSI
9x18mm Makarov	gr (g)	ft/s (m/s)	231ft•lbf (313 J)	23,206 PSI
.38 Super	grains (g)	ft/s (m/s)	468ft•lbf (634 J)	36,500 PSI
.357 Magnum	grains (g)	ft/s (m/s)	639ft•lbf (866 J)	35,000 PSI
.357 SIG	grains (g)	ft/s (m/s)	506ft•lbf (686 J)	40,000 PSI
