Edition	Round	Date	Surface	Opponent	Result
1984 World Group I	R1	15 July 1984	Clay	Anne Hobbs	6–4, 3–6, 6–2
1984 World Group I	R2	16 July 1984	Clay	Svetlana Cherneva	7–6, 6–3
1984 World Group I	QF	18 July 1984	Clay	Sabrina Goleš	4–6, 5–7
1985 World Group I	R1	6 October 1985	Hard	Elena Eliseenko	6–4, 6–2
1985 World Group I	R2	8 October 1985	Hard	Mima Jaušovec	6–4, 6–2
1985 World Group I	QF	10 October 1985	Hard	Jo Durie	6–2, 4–6, 8–6
1985 World Group I	SF	12 October 1985	Hard	Helena Suková	6–3, 7–6 (8–6)
1986 World Group I	R1	20 July 1986	Clay	Natasha Zvereva	4–6, 6–1, 6–2
1986 World Group I	R2	21 July 1986	Clay	Nathalie Tauziat	7–6 (7–5) , 7–6 (8–6)
1986 World Group I	QF	23 July 1986	Clay	Bettina Bunge	6–2, 3–6, 3–6
1987 World Group I	R1	26 July 1987	Hard	Olga Tsarbopoulou	6–0, 6–0
1987 World Group I	R2	27 July 1987	Hard	Suzanna Anggarkusuma	6–1, 6–1
1987 World Group I	QF	29 July 1987	Hard	Anne Minter	6–2, 6–2
1987 World Group I	SF	31 July 1987	Hard	Pam Shriver	3–6, 6–7
1989 World Group I	R1	1 October 1989	Hard	Im Sook-ja	6–2, 6–2
1989 World Group I	R2	3 October 1989	Hard	Patricia Tarabini	6–1, 6–0
1989 World Group I	QF	5 October 1989	Hard	Elizabeth Smylie	6–2, 6–1
1991 World Group I	R1	22 July 1991	Hard	Virág Csurgó	6–0, 6–2
1991 World Group I	R2	24 July 1991	Hard	Mary Joe Fernández	2–6, 1–6
1992 World Group I	R1	14 July 1992	Clay	Nicole Bradtke	6–3, 4–6, 0–6
1992 World Group I	RPO	16 July 1992	Clay	Irina Spîrlea	6–1, 6–0
1992 World Group I	RPO	17 July 1992	Clay	Andrea Temesvári	6–3, 6–4
1993 World Group I	R1	19 July 1993	Clay	Kim Yeon-sook	6–0, 6–2
1993 World Group I	R2	21 July 1993	Clay	Inés Gorrochategui	1–6, 5–7
1994 World Group I	R1	19 July 1994	Clay	Nadin Ercegović	6–0, 6–3
1994 World Group I	R2	21 July 1994	Clay	Romana Tedjakusuma	6–2, 6–1
1994 World Group I	QF	22 July 1994	Clay	Julie Halard	3–6, 6–3, 2–6
1995 World Group I	QF	22 April 1995	Carpet (I)	Arantxa Sánchez Vicario	3–6, 3–6
1995 World Group I	QF	23 April 1995	Carpet (I)	Conchita Martínez	2–6, 1–6
