Date	Opponent	Score	Loss	Attendance	Record
September 1	@ Mets	3 - 0	Hentgen (14-9)	19,196	65-71
September 2	@ Mets	8 - 5	Clemens (20-5)	17,635	65-72
September 3	@ Mets	4 - 2	Quantrill (6-6)	14,513	65-73
September 4	Rangers	6 - 2	Carpenter (1-7)	26,178	65-74
September 5	Rangers	5 - 1	Pavlik (2-4)	27,121	66-74
September 6	Rangers	2 - 1	Burkett (7-12)	31,232	67-74
September 7	Rangers	4 - 0	Oliver (11-11)	30,212	68-74
September 8	Angels	12 - 10	James (4-5)	25,775	69-74
September 9	Angels	2 - 0	Hill (7-12)	25,674	70-74
September 10	@ Athletics	3 - 2	Plesac (1-4)	4,764	70-75
September 11	@ Athletics	8 - 7	Escobar (2-1)	6,135	70-76
September 12	@ Mariners	7 - 3	Clemens (21-6)	37,044	70-77
September 13	@ Mariners	6 - 3	Ayala (10-5)	51,631	71-77
September 14	@ Mariners	3 - 2	Risley (0-1)	45,477	71-78
September 15	@ Mariners	7 - 3	Williams (8-14)	41,684	71-79
September 17	@ Red Sox	4 - 3	Quantrill (6-7)	23,648	71-80
September 18	@ Red Sox	3 - 2	Escobar (3-2)	27,990	71-81
September 19	@ Yankees	3 - 0	Gooden (8-5)	31,195	72-81
September 20	@ Yankees	4 - 3 (11)	Janzen (1-1)	38,332	72-82
September 21	@ Yankees	5 - 4 (10)	Almanzar (0-1)	40,038	72-83
September 22	@ Yankees	8 - 1	Hentgen (15-10)	23,380	72-84
September 23	Orioles	3 - 2	Clemens (21-7)	29,276	72-85
September 24	Orioles	9 - 3	Daal (1-1)	27,443	72-86
September 25	Orioles	4 - 3	Mussina (15-8)	28,324	73-86
September 26	Red Sox	3 - 0	Henry (7-3)	34,155	74-86
September 27	Red Sox	12 - 5	Corsi (5-3)	37,401	75-86
September 28	Red Sox	3 - 2	Gordon (6-10)	40,251	76-86
