Province	Population (2004 estimate)	Area (km²)	Density	GDP (2003, PPS in mil. € )	GDP per cap. (2003, in €)
South Holland	3453000	2860	1207.3	95868	27825
North Holland	2583900	2660	971.4	65295	27169
Utrecht	1159200	1356	854.9	38355	33148
Limburg	1143000	2167	527.5	28038	24585
North Brabant	2406900	4938	487.4	65295	27169
Gelderland	1967600	4995	393.9	45043	22942
Overijssel	1105800	3337	331.4	25854	23441
Flevoland	356400	1426	249.9	6915	19439
Groningen	575900	2344	245.7	18496	32245
Zeeland	378300	1792	211.1	9354	24706
Friesland	642500	3361	191.2	13989	21830
Drenthe	482300	2652	181.9	10323	21427
