Rank	Gymnast	Floor Exercise	Pommel Horse	Rings	Vault	Parallel Bars	Horizontal Bar	Total
1	Paul Hamm ( USA )	9.725	9.737	9.512	9.575	9.762	9.750	58.061
2	Yang Tae-Young ( KOR )	9.700	9.625	9.625	9.650	9.587	9.737	57.924
3	Hiroyuki Tomita ( JPN )	8.987	9.750	9.750	9.650	9.787	9.725	57.649
4	Marian Drăgulescu ( ROU )	9.762	9.325	9.475	9.762	9.562	9.550	57.436
5	Yernar Yerimbetov ( KAZ )	9.687	9.675	9.300	9.537	9.725	9.500	57.424
6	Ioan Silviu Suciu ( ROU )	9.650	9.712	9.487	9.637	9.500	9.412	57.398
7	Yang Wei ( CHN )	9.412	9.525	9.712	9.550	9.625	9.550	57.374
8	Roman Zozulya ( UKR )	9.487	9.562	9.725	9.337	9.712	9.450	57.273
9	Aleksei Bondarenko ( RUS )	9.662	8.650	9.662	9.825	9.537	9.600	56.936
10	Isao Yoneda ( JPN )	9.725	8.450	9.625	9.637	9.687	9.800	56.924
11	Kim Dae-Eun ( KOR )	9.437	9.537	9.700	9.600	9.075	9.462	56.811
12	Pavel Gofman ( ISR )	9.437	9.475	9.462	9.375	9.612	9.362	56.723
13	Ruslan Myezyentsev ( UKR )	9.650	9.425	9.687	9.475	9.437	9.037	56.711
14	Rafael Martínez ( ESP )	9.562	8.962	9.675	9.412	9.325	9.700	56.636
15	Benoît Caranobe ( FRA )	9.287	9.162	9.587	9.612	9.450	9.537	56.635
16	Luis Felipe Vargas ( PUR )	9.037	9.675	9.500	9.425	9.325	9.625	56.587
17	Igors Vihrovs ( LAT )	9.662	9.462	9.225	9.425	9.287	9.362	56.423
18	Eric López Ríos ( CUB )	9.062	9.500	9.637	9.400	9.687	9.112	56.398
19	Brett McClure ( USA )	9.437	9.000	9.037	9.512	9.675	9.662	56.323
20	Georgy Grebenkov ( RUS )	9.562	8.300	9.712	9.400	9.687	9.487	56.148
21	Fabian Hambüchen ( GER )	9.637	9.075	8.537	9.475	9.600	9.737	56.061
22	Ilia Giorgadze ( GEO )	9.437	9.100	9.450	9.350	9.600	9.075	56.012
23	Sergei Pfeifer ( GER )	9.400	9.575	9.587	9.150	9.150	9.125	55.987
27	Andreas Schweizer ( SUI )	8.787	9.200	9.737	9.100	9.387	9.225	55.436
