Result	Date	Race	Venue	Group	Distance	Weight (kg)	Jockey	Winner/2nd
6th	17 Aug 1996	Manikato Stakes	Moonee Valley	G1	1200 m	57	D. Gauci	1st - Poetic King
7th	31 Aug 1996	Memsie Stakes	Caulfield	G2	1400 m	57	D. Gauci	1st - Sir Boom
5th	14 Sep 1996	Feehan Stakes	Moonee Valley	G2	1600 m	57	D. Gauci	1st - Toil
Won	22 Sep 1996	Underwood Stakes	Caulfield	G1	1800 m	57	D. Beadman	2nd - Seascay
4th	12 Oct 1996	Caulfield Stakes	Caulfield	G1	2000 m	57	D. Beadman	1st - Juggler
5th	26 Oct 1996	Cox Plate	Moonee Valley	G1	2040 m	57	D. Gauci	1st - Saintly
9th	2 Nov 1996	Mackinnon Stakes	Flemington	G1	2000 m	57	D. Beadman	1st - All Our Mob
2nd	15 Feb 1997	Apollo Stakes	Warwick Farm	G2	1400 m	57	D. Beadman	1st - Juggler
Won	22 Feb 1997	Chipping Norton Stakes	Warwick Farm	G1	1600 m	57	S. Dye	2nd - Juggler
Won	10 Mar 1997	Australia Cup	Flemington	G1	2000 m	57	S. Dye	2nd - Gold City
Won	22 Mar 1997	Mercedes Classic	Rosehill	G1	2400 m	57	S. Dye	2nd - Arkady
2nd	12 Apr 1997	Queen Elizabeth Stakes	Randwick	G1	2000 m	57	S. Dye	1st - Intergaze
