Player	Nationality	Jersey Number(s)	Position	Years	From
Steve Scheffler Category:Articles with hCards	United States	55	C / PF	1992 – 1997	Purdue
Russ Schoene Category:Articles with hCards	United States	40	PF	1986 – 1989	UTC
Detlef Schrempf Category:Articles with hCards	Germany	11	SF / PF	1993 – 1999	Washington
John Schweitz Category:Articles with hCards	United States	35	SG	1984–1985	Richmond
Bruce Seals Category:Articles with hCards	United States	45	PF	1975 – 1978	Xavier (Louisiana)
Brad Sellers Category:Articles with hCards	United States	2	PF / C	1989–1990	Ohio State
Mouhamed Sene Category:Articles with hCards	Senegal	18	C	2006 – 2008	RBC Verviers-Pepinster
Ansu Sesay Category:Articles with hCards	United States	45, 5	PF	2002 – 2004	Mississippi
Lonnie Shelton Category:Articles with hCards	United States	8	PF / C	1978 – 1982	Oregon State
Gene Short Category:Articles with hCards	United States	20	SF	1975	Jackson State
John Shumate Category:Articles with hCards	United States	34	PF / C	1980	Notre Dame
^ Jack Sikma Category:Articles with hCards	United States	43	PF / C	1977 – 1986	Illinois Wesleyan
Paul Silas Category:Articles with hCards	United States	35, 36	PF / SF	1977 – 1980	Creighton
Talvin Skinner Category:Articles with hCards	United States	22	SF / SG	1974 – 1976	Maryland Eastern Shore
Leon Smith Category:Articles with hCards	United States	35	PF	2004	King College Prep HS
Phil Smith Category:Articles with hCards	United States	20	SG	1982 – 1983	San Francisco
Eric Snow Category:Articles with hCards	United States	3, 13	PG	1995 – 1998	Michigan State
Dick Snyder Category:Articles with hCards	United States	10, 11	SF / SG	1969 – 1974 1978–1979	Davidson
Ricky Sobers Category:Articles with hCards	United States	14	PG	1984 – 1986	UNLV
Elmore Spencer Category:Articles with hCards	United States	27	C	1996	UNLV
Isaac Stallworth Category:Articles with hCards	United States	15	SF / SG	1972 – 1974	Kansas
Terence Stansbury Category:Articles with hCards	United States	44	SG	1986–1987	Temple
Vladimir Stepania Category:Articles with hCards	Georgia	5	Center	1999 – 2000	KK Union Olimpija
Larry Stewart Category:Articles with hCards	United States	23	SF	1996–1997	Coppin State
Alex Stivrins Category:Articles with hCards	United States	42	PF	1985	Colorado
Jon Sundvold Category:Articles with hCards	United States	20	SG	1984 – 1985	Missouri
Robert Swift Category:Articles with hCards	United States	31	C	2005 – 2008	Bakersfield HS
Wally Szczerbiak Category:Articles with hCards	United States	3	SF / SG	2007–2008	Miami (Ohio)
