Name	Years	Gender	Area	Authority	Decile
Ashgrove School	1–8	Coed	Rangiora	State	9
Ashley School	1–8	Coed	Ashley	State	9
Clarkville School	1–8	Coed	Clarkville	State	9
Cust School	1–8	Coed	Cust	State	10
Fernside School	1–8	Coed	Fernside	State	10
Kaiapoi Borough School	1–8	Coed	Kaiapoi	State	6
Kaiapoi High School	9–13	Coed	Kaiapoi	State	6
Kaiapoi North School	1–8	Coed	Kaiapoi	State	5
Karanga Mai Young Parents College	–	–	Kaiapoi	State	1
Loburn School	1–8	Coed	Loburn	State	10
North Loburn School	1–8	Coed	Loburn	State	9
Ohoka School	1–8	Coed	Kaiapoi	State	10
Oxford Area School	1–13	Coed	Oxford	State	7
Rangiora Borough School	1–8	Coed	Rangiora	State	7
Rangiora High School	9–13	Coed	Rangiora	State	8
Rangiora New Life School	1–13	Coed	Southbrook	State integrated	8
Sefton School	1–8	Coed	Sefton	State	7
Southbrook School	1–8	Coed	Southbrook	State	7
St Joseph's School	1–8	Coed	Rangiora	State integrated	9
St Patrick's School	1–8	Coed	Kaiapoi	State integrated	8
Swannanoa School	1–8	Coed	Swannanoa	State	10
Tuahiwi School	1–8	Coed	Kaiapoi	State	7
View Hill School	1–8	Coed	Oxford	State	7
Waikuku School	1–8	Coed	Waikuku	State	7
West Eyreton School	1–8	Coed	West Eyreton	State	10
Woodend School	1–8	Coed	Woodend	State	9
