Rank	Nation	Gold	Silver	Bronze	Total
1	USSR	112	85	58	255
2	China	70	45	34	149
3	Romania	47	43	41	131
4	Japan	40	44	58	142
5	Czechoslovakia (1)	39	38	30	106
6	United States	39	36	27	102
7	Russia	26	33	24	83
8	France	25	29	22	76
9	Germany (2)	24	27	43	94
10	Switzerland	19	16	14	49
11	Yugoslavia	17	11	9	37
12	Italy	14	8	26	47
13	Belarus	14	7	11	32
14	Hungary	10	15	8	33
15	South Korea	6	2	2	10
16	Ukraine	5	7	14	26
17	Bulgaria	5	6	13	24
18	CIS	5	3	5	13
19	Poland	5	2	9	16
20	Brazil	4	3	3	10
21	North Korea	4	2	3	9
22	Greece	4	2	2	8
23	Netherlands	3	6	2	11
24	Great Britain	3	5	6	14
25	Slovenia	3	4	0	7
26	Spain	3	3	1	7
27	Sweden	3	1	2	6
28	Finland	2	5	1	8
29	Australia	2	4	4	10
30	Uzbekistan	1	2	4	7
31	Austria	1	1	1	3
32	Luxembourg	1	0	4	5
33	Kazakhstan	1	0	0	1
34	Belgium	0	4	5	9
35	Canada	0	3	5	8
36	Latvia	0	2	1	3
37	Cuba	0	1	2	3
38	Chinese Taipei	0	1	0	1
38	Mexico	0	1	0	1
40	Israel	0	0	2	2
41	Azerbaijan	0	0	1	1
41	Puerto Rico	0	0	1	1
41	Vietnam	0	0	1	1
