Series no.	Season no.	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
18	1	"Run, Dr. Lola Spratt, Run"	Rob Schrab	Rob Corddry	June2,2011	301	1.54
19	2	"Ward 8"	Rob Schrab	Jason Mantzoukas	June9,2011	307	1.34
20	3	"The Black Doctor"	Steve Pink	Rob Corddry	June16,2011	302	1.66
21	4	"Home Is Where the Hospital Is"	Michael Patrick Jann	Erica Oyama	June23,2011	311	1.78
22	5	"Nip/Tug"	Dylan Kidd	Brian Huskey	June30,2011	304	1.59
23	6	"70's Episode"	Steve Pink	Rob Corddry	July7,2011	306	1.40
24	7	"Father's Day"	Tristram Shapeero	Jonathan Stern	July14,2011	308	1.59
25	8	"Stryker Bites the Dust"	Dylan Kidd	Rob Huebel & Paul Scheer	July21,2011	313	1.38
26	9	"Childrens Hospital: A Play in Three Acts"	Michael Patrick Jann	Rob Corddry & Jonathan Stern & David Wain	July28,2011	314	N/A
27	10	"Munch by Proxy"	Tristram Shapeero	Rob Corddry	August4,2011	305	N/A
28	11	"Night Shift"	Rob Schrab	Jason Mantzoukas	August11,2011	309	1.63
29	12	"Chet Episode"	Tristram Shapeero	Seth Morris	August18,2011	310	1.66
30	13	"Party Down"	Rob Schrab	Rob Schrab	August25,2011	312	1.61
