Game	Date	Opponent	Score	High points	High rebounds	High assists	Location/Attendance	Record
16	July 1	Phoenix	79-97	Lennox (18)	Lovelace , Young (7)	Latta (5)	Philips Arena 9,795	0-16
17	July 3	Houston	65-72	Lennox (15)	Feenstra (9)	Haynie , Strother (3)	Philips Arena 7,430	0-17
18	July 5	Chicago	91-84	Lacy , Latta (18)	Young (8)	Haynie (11)	Philips Arena 8,468	1-17
19	July 9	@ Minnesota	73-67	Lennox (24)	Bales (11)	Haynie (5)	Target Center 5,893	2-17
20	July 11	@ San Antonio	74-82	Lennox (22)	Bales (9)	Lennox (4)	AT&T Center 10,943	2-18
21	July 13	@ Chicago	66-79	Feenstra (21)	Feenstra (8)	Feenstra , Haynie , Lennox (2)	UIC Pavilion 2,907	2-19
22	July 16	@ Indiana	81-77	Castro Marques (24)	Bales (11)	Haynie (7)	Conseco Fieldhouse 9,303	3-19
23	July 18	@ Sacramento	73-77	Haynie (12)	Feenstra (8)	Haynie (4)	ARCO Arena 7,236	3-20
24	July 19	@ Phoenix	84-110	Latta (18)	Terry (11)	Latta (3)	US Airways Center 7,913	3-21
25	July 22	Sacramento	66-79	Terry , Latta (15)	Terry (9)	Haynie (4)	Philips Arena 10,431	3-22
26	July 25	Washington	75-81	Castro Marques (23)	Bales (7)	Haynie (3)	Philips Arena 8,279	3-23
27	July 27	New York	76-86	Lennox (18)	DeSouza (11)	Latta (5)	Philips Arena 8,759	3-24
