Peak	Location	Height (m)	Prominence (m)	Col (m)	Parent
Mount Everest	Nepal / People's Republic of China ( Tibet )	8,848	8,848	0	none — HP Africa-Eurasia
Aconcagua	Argentina ( Mendoza )	6,962	6,962	0	none — HP the Americas
Mount McKinley (Denali)	United States ( Alaska )	6,194	6,138	56	Aconcagua
Mount Kilimanjaro	Tanzania	5,895	5,885	10	Everest
Pico Cristóbal Colón	Colombia ( Magdalena )	5,700	5,509	191	Aconcagua
Mount Logan	Canada ( Yukon )	5,959	5,250	709	Mount McKinley
Pico de Orizaba	Mexico ( Veracruz - Puebla )	5,636	4,922	714	Mount Logan
Vinson Massif	Antarctica	4,892	4,892	0	none — HP Antarctica
Puncak Jaya	Indonesia ( New Guinea )	4,884	4,884	0	none — HP New Guinea
Mount Elbrus	Russia	5,642	4,741	901	Everest
Mont Blanc	France / Italy	4,808	4,695	113	Everest
Mount Damavand	Iran	5,610	4,667	943	Elbrus
Klyuchevskaya Sopka	Russia ( Kamchatka )	4,750	4,649	101	Everest
Nanga Parbat	Pakistan	8,125	4,608	3517	Everest
Mauna Kea	United States ( Hawaii )	4,205	4,205	0	none — HP Hawaii island
Jengish Chokusu	Kyrgyzstan / People's Republic of China	7,439	4,148	3291	Everest
Chimborazo	Ecuador	6,268	4,123	2145	Aconcagua
Bogda Peak	People's Republic of China	5,445	4,122	1323	Everest
Namjagbarwa	People's Republic of China ( Tibet )	7,782	4,106	3676	Everest
Mount Kinabalu	Malaysia	4,095	4,095	0	none — HP Borneo
Mount Rainier	United States ( Washington )	4,393	4,023	370	Orizaba 1 / McKinley ²
K2	Pakistan / People's Republic of China	8,611	4,017	4594	Everest
Ras Dashen	Ethiopia	4,550	3,997	553	Kilimanjaro
Volcán Tajumulco	Guatemala	4,220	3,980	240	Orizaba 1 / McKinley ²
Pico Bolívar (La Columna)	Venezuela	4,981	3,957	1024	Chimborazo 1 / Aconcagua ²
Mount Fairweather	United States ( Alaska )/ Canada	4,671	3,955	722	Orizaba
Yushan (Jade Mountain)	Republic of China (Taiwan)	3,952	3,952	0	none — HP Taiwan
Mount Stanley	Democratic Republic of the Congo / Uganda	5,109	3,951	1158	Kilimanjaro
Kangchenjunga	Nepal / India	8,586	3,922	4664	Everest
Tirich Mir	Pakistan	7,708	3,908	3800	K2 1 / Everest ²
Mount Cameroon	Cameroon	4,040	3,901	139	Stanley 1 / Kilimanjaro ²
Mount Kenya	Kenya	5,199	3,825	1374	Kilimanjaro
Mount Kerinci	Indonesia	3,805	3,805	0	none — HP Sumatra
Mount Erebus	Antarctica	3,794	3,794	0	none — HP Ross Island
Mount Fuji	Japan	3,776	3,776	0	none — HP Honshū
Toubkal	Morocco	4,167	3,757	410	Stanley 1 / Kilimanjaro ²
Aoraki/Mount Cook	New Zealand	3,755	3,755	0	none — HP South Island
Cerro Chirripó	Costa Rica	3,820	3,727	93	Chimborazo 1 / Aconcagua ²
Mount Rinjani	Indonesia	3,726	3,726	0	none — HP Lombok
Teide	Spain	3,718	3,718	0	none — HP Tenerife
Monte San Valentin	Chile	4,058	3,696	362	Aconcagua
Gunnbjørn Fjeld	Greenland	3,694	3,694	0	none — HP Greenland
Ojos del Salado	Argentina / Chile	6,893	3,688	3205	Aconcagua
Semeru	Indonesia	3,676	3,676	0	none — HP Java
Finisterre Range HP	Papua New Guinea	4,125	3,675	441	Puncak Jaya
Ritacuba Blanco	Colombia	5,410	3,645	1765	Chimborazo 1 / Aconcagua ²
Mount Gongga	People's Republic of China	7,556	3,642	3914	K2 1 / Everest ²
Mount Ararat	Turkey	5,137	3,611	1526	Damavand
Kongur Tagh	People's Republic of China	7,649	3,585	4064	K2 1 / Everest ²
Mount Blackburn	United States ( Alaska )	4,996	3,535	1461	Mount Logan
Mount Hayes	United States ( Alaska )	4,216	3,501	715	Mount McKinley
Mount Rantemario	Indonesia	3,478	3,478	0	none — HP Sulawesi
Mount Saint Elias	United States ( Alaska )/ Canada	5,489	3,448	2041	Mount Logan
