Tournament	1990	1991	1992	1993	1994	1995	1996
Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams	Grand Slams
Australian Open	3R	1R	2R	A	2R	QF	SF
French Open	1R	3R	W	1R	2R	SF	F
Wimbledon	3R	A	SF	1R	1R	QF	QF
US Open	QF	1R	2R	1R	A	2R	SF
Win–Loss	6–4	2–3	12–3	0–3	2–3	11–4	16–4
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells	A	A	1R	2R	A	A	2R
Miami	SF	2R	3R	A	A	A	2R
Monte Carlo	QF	A	QF	2R	A	A	A
Rome	1R	SF	W	1R	A	A	1R
Hamburg	QF	A	A	A	A	A	F
Canada	1R	QF	A	1R	2R	QF	1R
Cincinnati	SF	1R	SF	1R	A	A	1R
Stuttgart (Stockholm)	W	QF	A	A	A	A	2R
Paris	QF	2R	2R	2R	A	QF	2R
Win–Loss	13–7	7–6	12–5	1–6	1–1	3–2	4–8
Ranking	12	39	8	180	49	24	9
