Event	Season	Compulsory Dance (CD)	Original Dance (OD)	Free Dance (FD)	Combined Total Score
European Figure Skating Championships	2008 - 2009	23.75	44.56	66.67	134.98
British Figure Skating Championships	2009 - 2010	27.14	48.87	76.38	152.39
British Figure Skating Championships	2008 - 2009	20.03	45.52	67.51	133.06
British Figure Skating Championships	2007 - 2008	23.83	48.25	73.05	145.13
British Figure Skating Championships	2006 - 2007	15.99	34.17	57.11	107.27
Mont Blanc Trophy	2009 - 2010	28.12	45.16	71.36	144.64
NRW Trophy	2009 - 2010	29.46	49.25	77.34	156.05
Ice Challenge	2009 - 2010	28.30	47.20	74.65	150.15
Pavel Roman Memorial	2008 - 2009	27.32	46.77	70.08	144.17
Nebelhorn Trophy	2009 - 2010	29.02	45.06	72.14	146.22
