Year	Date	Stages	Distance	Winner
1955	28 April–1 May	4	418 km	Antonio Arzala ( PHI )
1956	23–27 May	5	1,057 km	Antonio Arzala ( PHI )
1957	28 May–7 June	6	1,155 km	Rufino Gabot ( PHI )
1958	14–20 April	7	1,517 km	Mamerto Eden ( PHI )
1959	12–19 April	8	1,634 km	Antonio Arzala ( PHI )
1960	14–22 May	9	1,648 km	Rodrigo Abaquita ( PHI )
1961	25 April–7 May	12	2,167 km	Jose Moring, Jr. ( PHI )
1962	26 March–8 April	12	1,870.23 km	Edmundo De Guzman ( PHI )
1963	21 April–5 May	14	2,334.38 km	Gonzalo Recodos ( PHI )
1964	19 April–3 May	14	1,967.60 km	Jose Sumalde ( PHI )
1965	25 April–9 May	14	2,049.31 km	Jose Sumalde ( PHI )
1966	23 April–8 May	15	1,999.82 km	Cornelio Padilla, Jr. ( PHI )
1967	12–19 April	8	1,634 km	Cornelio Padilla, Jr. ( PHI )
1968	Cancelled	Cancelled	Cancelled	Cancelled
1969	18–27 April	10	1,208.40 km	Domingo Quilban ( PHI )
1970–1972	Cancelled	Cancelled	Cancelled	Cancelled
1973	11–20 May	10	1,214 km	Jesus Garcia, Jr. ( PHI )
1974	23 April–12 May	18	2,540.95 km	Teodorico Rimarim ( PHI )
1975	19 April–4 May	15	2,207.87 km	Samson Etrata ( PHI )
1976	21 April–9 May	6	2,200 km	Modesto Bonzo ( PHI )
