Poll source	Dates administered	Roy Barnes	Thurbert Baker	DuBose Porter	David Poythress	Undecided
Rasmussen Reports	July 13, 2010	59%	16%	5%	5%	12%
Mason-Dixon	July 8–13, 2010	54%	20%	3%	7%	16%
Survey USA	July 7–8, 2010	56%	18%	6%	5%	9%
Survey USA	June 14–17, 2010	63%	13%	4%	5%	11%
InsiderAdvantage	April 7, 2010	47%	18%	5%	6%	24%
Rasmussen Reports	December 18, 2009	48%	17%	3%	4%	19%
Rasmussen Reports	October 20, 2009	43%	19%	4%	4%	21%
Rasmussen Reports	August 18, 2009	42%	9%	7%	2%	30%
Rasmussen Reports	June 17, 2009	48%	8%	5%	2%	31%
Strategic Vision	June 17, 2009	49%	30%	2%	5%	14%
