Driver	Constructor	Laps	Time/Retired	Grid
Damon Hill	Williams - Renault	58	1:32:50.4	2
Jacques Villeneuve	Williams - Renault	58	+38.020	1
Eddie Irvine	Ferrari	58	+1:02.571	3
Gerhard Berger	Benetton - Renault	58	+1:17.037	7
Mika Häkkinen	McLaren - Mercedes	58	+1:35.071	5
Mika Salo	Tyrrell - Yamaha	57	+1 Lap	10
Olivier Panis	Ligier - Mugen-Honda	57	+1 Lap	11
Heinz-Harald Frentzen	Sauber - Ford	57	+1 Lap	9
Ricardo Rosset	Footwork - Hart	56	+2 Laps	18
Pedro Diniz	Ligier - Mugen-Honda	56	+2 Laps	20
Ukyo Katayama	Tyrrell - Yamaha	55	+3 Laps	15
Pedro Lamy	Minardi - Ford	42	Safety belt	17
Michael Schumacher	Ferrari	32	Brakes	4
Giancarlo Fisichella	Minardi - Ford	32	Clutch	16
Rubens Barrichello	Jordan - Peugeot	29	Engine	8
David Coulthard	McLaren - Mercedes	24	Throttle	13
Jos Verstappen	Footwork - Hart	15	Engine	12
Jean Alesi	Benetton - Renault	9	Collision	6
Martin Brundle	Jordan - Peugeot	1	Collision	19
Johnny Herbert	Sauber - Ford	0	Collision	14
