Team #1	Agg.	Team #2	1st leg	2nd leg
BK Prostějov	134-148	KK Zagreb	61-69	73-79
KK AMAK	148-145	Zlatorog Laško	70-76	78-69
CSU Asesoft	147-145	Spartak	79-76	68-69
U Mobitelco Cluj	132-163	EWE Baskets	60-86	72-77
Svendborg Rabbits	168-180	HKK Široki	92-100	76-80
MBC Mykolaiv	138-151	DB Skyliners	68-75	70-76
Energy Invest Rustavi	160-200	Sumykhimprom	81-110	79-90
Spartak Pleven	153-176	Antalya BB BK	83-87	70-89
APOEL	113-135	JA Vichy	52-66	61-69
CSU Sibiu	144-186	Banvit Bandırma	67-74	77-112
Cedevita Zagreb	150-157	Hyères-Toulon	92-82	58-75
Körmend	171-201	EiffelTowers Den Bosch	71-88	100-113
BC Donetsk	120-134	AEL	65-65	55-79
Bakken Bears	119-164	Liege Basket	55-67	64-97
