Team	Location	Venue	Capacity	Position in 2007
BATE	Borisov	City Stadium, Borisov	5,500	1
Gomel	Gomel	Central, Gomel	11,800	2
Shakhtyor	Soligorsk	Stroitel	5,000	3
Torpedo	Zhodino	Torpedo, Zhodino	3,020	4
MTZ-RIPO	Minsk	Traktor	17,600	5
Neman	Grodno	Neman	6,300	6
Naftan	Novopolotsk	Atlant	6,500	7
Vitebsk	Vitebsk	Central, Vitebsk	8,300	8
Dinamo Minsk	Minsk	Dinamo, Minsk	41,040	9
Smorgon	Smorgon	Yunost	3,500	10
Darida	Minsk Raion	Darida	6,000	11
Dinamo Brest	Brest	OSK Brestskiy	10,080	12
Dnepr	Mogilev	Spartak	11,200	13
Savit	Mogilev	Torpedo, Mogilev	3,500	First league , 1
Granit	Mikashevichi	OSK Brestskiy	3,130	First league , 2
Lokomotiv	Minsk	City Stadium, Molodechno	4,800	First league , 3
