Place	Player	Country	Score	To par	Money ( $ )
1	José María Olazábal	Spain	70-66-73-71=280	–8	720,000
2	Davis Love III	United States	69-72-70-71=282	–6	432,000
3	Greg Norman	Australia	71-68-71-73=283	–5	272,000
T4	Bob Estes	United States	71-72-69-72=284	–4	176,000
T4	Steve Pate	United States	71-75-65-73=284	–4	176,000
T6	David Duval	United States	71-74-70-70=285	–3	125,200
T6	Carlos Franco	Paraguay	72-72-68-73=285	–3	125,200
T6	Phil Mickelson	United States	74-69-71-71=285	–3	125,200
T6	Nick Price	Zimbabwe	69-72-72-72=285	–3	125,200
T6	Lee Westwood	England	75-71-68-71=285	–3	125,200
