City	Country	IATA	ICAO	Airport
Aberdeen	United Kingdom	ABZ	EGPD	Dyce Airport
Abidjan	Côte d'Ivoire	ABJ	DIAP	Port Bouet Airport
Abuja	Nigeria	ABV	DNAA	Nnamdi Azidiwe Airport
Ajaccio	France	AJA	LFKJ	Campo dell'Oro Airport
Algiers	Algeria	ALG	DAAG	Houari Boumediene Airport
Amman	Jordan	AMM	OJAI	Queen Alia Airport
Amsterdam	Netherlands	AMS	EHAM	Schiphol Airport
Annecy	France	NCY	LFLP	Mont Blanc Airport
Antananarivo	Madagascar	TNR	FMMI	Ivato Airport
Antwerp	Belgium	ANR	EBAW	Antwerp International Airport
Athens	Greece	ATH	LGAV	Eleftherios Venizelos Airport
Atlanta	United States	ATL	KATL	Hartsfield–Jackson Airport
Bahrain	Bahrain	BAH	OBBI	Bahrain International Airport
Bamako	Mali	BKO	GABS	Senou Airport
Bangalore	India	BLR	VOBL	Bengaluru International Airport
Bangkok	Thailand	BKK	VTBS	Suvarnabhumi Airport
Bangui	Central African Republic	BGF	FEFF	M'Poko Airport
Barcelona	Spain	BCN	LEBL	El Prat Airport
Bastia	France	BIA	LFKB	Poretta Airport
Beijing	China	PEK	ZBAA	Capital Airport
Beirut	Lebanon	BEY	OLBA	Rafic Hariri Airport
Berlin	Germany	TXL	EDDT	Tegel Airport
Biarritz	France	BIQ	LFBZ	Parme Airport
Bilbao	Spain	BIO	LEBB	Loiu Airport
Billund	Denmark	BLL	EKBI	Billund Airport
Birmingham	United Kingdom	BHX	EGBB	Birmingham Airport
Bogotá	Colombia	BOG	SKBO	El Dorado Airport
Bologna	Italy	BLQ	LIPE	Guglielmo Marconi Airport
Bordeaux	France	BOD	LFBD	Mérignac Airport
Boston	United States	BOS	KBOS	Logan Airport
Brasilia (begins 31 March 2014)	Brazil	BSB	SBBR	Brasília Airport
Brazzaville	Congo	BZV	FCBB	Maya-Maya Airport
Bremen	Germany	BRE	EDDW	Bremen Airport
Brest	France	BES	LFRB	Bretagne Airport
Bristol	United Kingdom	BRS	EGGD	Bristol Airport
Brive	France	BVE	LFSl	Souillac airport
Brussels	Belgium	BRU	EBBR	National Airport
