Sd	Rk	Player	Points	Points defending	Points won	New points	Status
1	1	Caroline Wozniacki	7485	900	500	7085	Quarterfinals lost to Kim Clijsters [11]
2	2	Petra Kvitová	7290	500	900	7690	Semifinals lost to Maria Sharapova [4]
4	4	Maria Sharapova	6440	280	1400	7560	Runner-up, Final lost to Victoria Azarenka [3]
5	5	Li Na	5570	1,400	280	4450	Fourth round lost to Kim Clijsters [11]
6	6	Samantha Stosur	5585	160	5	5430	First round lost to Sorana Cîrstea
7	7	Vera Zvonareva	5435	900	160	4695	Third round lost to Ekaterina Makarova
8	8	Agnieszka Radwańska	5330	500	500	5330	Quarterfinals lost to Victoria Azarenka [3]
9	9	Marion Bartoli	4710	100	160	4770	Third round lost to Zheng Jie
10	11	Francesca Schiavone	4040	500	100	3640	Second round lost to Romina Oprandi
11	12	Kim Clijsters	3041	2,000	900	1941	Semifinals lost to Victoria Azarenka [3]
12	13	Serena Williams	3300	0	280	3580	Fourth round lost to Ekaterina Makarova
13	14	Jelena Janković	3115	100	280	3295	Fourth round lost to Caroline Wozniacki [1]
14	15	Sabine Lisicki	2903	(40)	280	3143	Fourth round lost to Maria Sharapova [4]
15	16	Anastasia Pavlyuchenkova	2795	160	100	2735	Second round lost to Vania King
16	17	Peng Shuai	2760	280	100	2580	Second round lost to Iveta Benešová
17	18	Dominika Cibulková	2695	160	100	2635	Second round lost to Gréta Arn
18	19	Svetlana Kuznetsova	2646	280	160	2526	Third round lost to Sabine Lisicki [14]
19	20	Flavia Pennetta	2570	280	5	2295	First round lost to Nina Bratchikova [Q]
20	21	Daniela Hantuchová	2295	5	160	2450	Third round lost to Kim Clijsters [11]
21	22	Ana Ivanovic	2260	5	280	2535	Fourth round lost to Petra Kvitová [2]
22	23	Julia Görges	2225	160	280	2345	Fourth round lost to Agnieszka Radwańska [8]
23	24	Roberta Vinci	2115	5	100	2210	Second round lost to Zheng Jie
24	25	Lucie Šafářová	2120	160	5	1965	First round lost to Christina McHale
25	26	Kaia Kanepi	2049	100	100	2049	Second round lost to Ekaterina Makarova
26	27	Anabel Medina Garrigues	1950	5	160	2105	Third round retired against Li Na [5]
27	28	Maria Kirilenko	1930	100	160	1990	Third round retired against Petra Kvitová [2]
28	29	Yanina Wickmayer	2050	100	5	1955	First round lost to Galina Voskoboeva
29	30	Nadia Petrova	1765	160	100	1705	Second round lost to Sara Errani
30	31	Angelique Kerber	1810	5	160	1965	Third round lost to Maria Sharapova [4]
31	32	Monica Niculescu	1725	160	160	1725	Third round lost to Caroline Wozniacki [1]
