Res.	Record	Opponent	Method	Event	Round	Location
Loss	9-8	Kenny Ento	Submission (triangle choke)	Palace Fighting Championship 4: Project Complete	1	Lemoore, California , United States
Loss	9-7	Nathan James	Decision (unanimous)	IFO: Wiuff vs. Salmon	3	Las Vegas, Nevada, United States
Loss	9-6	Brian Foster	TKO (punches)	IFL: Chicago	1	Chicago, Illinois, United States
Loss	9-5	Vladimir Matyushenko	TKO (strikes)	IFL: Los Angeles	1	Los Angeles, California, United States
Loss	9-4	Reese Andy	Decision (unanimous)	IFL: Oakland	3	Oakland, California , United States
Win	9-3	Brian Warren	Technical Submission (triangle choke)	BIB: Beatdown in Bakersfield	1	Bakersfield, California , United States
Win	8-3	Justin Hawes	TKO (strikes)	WEC 24	1	Lemoore, California , United States
Loss	7-3	Jorge Santiago	KO (knee)	UFC Ultimate Fight Night 5	1	Las Vegas, Nevada, United States
Loss	7-2	Evan Tanner	Submission (triangle choke)	UFC 59	1	Anaheim, California , United States
Loss	7-1	Scott Smith	KO (punches)	WEC 18	1	Lemoore, California, United States
Win	7-0	Jorge Oliveira	KO (slam)	WEC 17	1	Lemoore, California, United States
Win	6-0	Tony Lopez	Submission (rear-naked choke)	WEC 15	1	Lemoore, California, United States
Win	5-0	Tosh Cook	Submission (triangle choke)	GC 35: Cold Fury	1	Porterville, California , United States
Win	4-0	Eber Saulido	TKO	TC 7: Total Combat 7	1	Tijuana , Mexico
Win	3-0	Mitch Nester	TKO	GC 33: Brutal Force	1	Porterville, California , United States
Win	2-0	Jeff Dowmam	KO (kick)	GC 28: Gladiator Challenge 28	1	Porterville, California , United States
Win	1-0	Hector Carrilo	TKO	TC 3: Total Combat 3	1	Tijuana , Mexico
