Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
1	November 2	Dallas	W 101–94	J. Johnson (28)	Smith (11)	J. Johnson , Lue , Smith (4)	Philips Arena 19,767	1–0
2	November 4	@ Detroit	L 91–92	J. Johnson (23)	Horford (11)	J. Johnson (4)	The Palace of Auburn Hills 22,076	1–1
3	November 6	@ New Jersey	W 82–87	Childress , Smith (18)	Childress , Horford , Smith (7)	Smith (6)	Izod Center 12,336	1–2
4	November 7	Phoenix	W 105–96	Smith (22)	Horford (15)	J. Johnson (10)	Philips Arena 19,855	2–2
5	November 9	@ Boston	L 83–106	J. Johnson , Horford (16)	Childress , Horford (7)	J. Johnson , Law (5)	TD Banknorth Garden 18,624	2–3
6	November 11	Washington	L 90–101	Smith (23)	M. Williams (12)	M. Williams (6)	Philips Arena 13,172	2–4
7	November 14	Charlotte	W 117–109	J. Johnson (34)	Horford (13)	J. Johnson (10)	Philips Arena 12,239	3–4
8	November 16	Seattle	L 123–126	J. Johnson (39)	Horford (14)	J. Johnson (6)	Philips Arena 13,534	3–5
9	November 17	@ Milwaukee	L 96–105	Smith (38)	Horford , M. Williams (8)	J. Johnson (9)	Bradley Center 14,511	3–6
10	November 20	San Antonio	L 83–95	J. Johnson (20)	Horford (8)	A. Johnson (7)	Philips Arena 17,025	3–7
11	November 21	@ Miami	W 82–79	J. Johnson (22)	J. Smith (11)	J. Johnson , Josh Smith (4)	American Airlines Arena 19,600	4–7
12	November 24	@ Minnesota	W 98–87	J. Johnson (25)	J. Smith (8)	J. Johnson , J. Smith (5)	Target Center 14,101	5–7
13	November 27	@ Chicago	L 78–90	J. Johnson (21)	A. Horford (14)	J. Johnson (5)	United Center 21,826	5–8
14	November 28	Milwaukee	W 96–80	J. Johnson (21)	J. Smtih , Z. Pachulia (8)	J. Smith (7)	Philips Arena 11,286	6–8
15	November 30	New Orleans	L 86–92	M. Williams (18)	A. Horford (15)	J. Johnson (9)	Philips Arena 14,186	6–9
