Place	Player	Country	Score	To par
1	Fred Couples	United States	69-70-71=210	–6
T2	Paul Azinger	United States	71-72-69=212	–4
T2	Phil Mickelson	United States	74-69-69=212	–4
T2	Mark O'Meara	United States	74-70-68=212	–4
T5	David Duval	United States	71-68-74=213	–3
T5	Jim Furyk	United States	76-70-67=213	–3
T7	Jay Haas	United States	72-71-71=214	–2
T7	Scott Hoch	United States	70-71-73=214	–2
T7	José María Olazábal	Spain	70-73-71=214	–2
T10	Ernie Els	South Africa	75-70-70=215	–1
T10	Colin Montgomerie	Scotland	71-75-69=215	–1
T10	Jack Nicklaus	United States	73-72-70=215	–1
T10	Tiger Woods	United States	71-72-72=215	–1
