Name	Country	Type	Moving from	Transfer window	Transfer fee
Bernárdez	HON	Transferred	Motagua	Winter	Undisclosed
Bulykin	RUS	Transferred	Bayer Leverkusen	Summer	€ 1m
Cordier	BEL	Transferred	Brussels	Winter	Undisclosed
De Sutter	BEL	Transferred	CercleBrugge	Winter	Undisclosed
Iakovenko	UKR	Transferred	Genk	Summer	Undisclosed
Kanu	BRA	Transferred	Barueri	Summer	Undisclosed
Kayouté	SEN	Transferred	Brussels	Summer	Undisclosed
Kruiswijk	NED	Transferred	Groningen	Summer	Free
Losada	ARG	Transferred	Germinal Beerschot	Summer	Undisclosed
Rnić	SRB	Transferred	Partizan	Summer	Free
Servaes	BEL	Transferred	Brussels	Summer	Undisclosed
Suárez	ARG	Transferred	Belgrano	Summer	€ 1.2m
