Storm name	Dates active	Max 1-min wind mph (km/h)	Min. press. ( mbar )	Damage (millions USD )	Deaths
One	May19– May25	65 (100)	<995	None	None
Two	August3– August10	100 (155)	972	10.75	7
Three	August5– August14	100 (155)	972	13	52
Four	August26– September2	110 (175)	961	4.05	7
Five	September7– September17	100 (155)	<988	1.49	3
Six	September18– September25	50 (85)	1002	0.039	2
Seven	September22– September28	100 (155)	<977	None	None
Eight	October20– October24	80 (130)	<983	Unknown	None
Nine	October24– October26	45 (75)	<1007	None	None
Season Aggregates	Season Aggregates	Season Aggregates	Season Aggregates	Season Aggregates	Season Aggregates
9 cyclones	May19 – October26	110 (175)	961	29.3	71
