Place	Player	Country	Score	To par
1	Sergio García	Spain	65-71=136	–6
2	K.J. Choi	South Korea	69-69=138	–4
T3	Miguel Ángel Jiménez	Spain	69-70=139	–3
T3	Mike Weir	Canada	71-68=139	–3
T5	Jim Furyk	United States	70-70=140	–2
T5	Boo Weekley	United States	68-72=140	–2
T7	Ángel Cabrera	Argentina	68-73=141	–1
T7	Alastair Forsyth	Scotland	70-71=141	–1
T7	Retief Goosen	South Africa	70-71=141	–1
T7	J. J. Henry	United States	70-71=141	–1
T7	Andrés Romero	Argentina	71-70=141	–1
T7	Lee Westwood	England	71-70=141	–1
