Place	Player	Country	Score	To par	Money ( $ )
1	José María Olazábal	Spain	74-67-69-69=279	–9	360,000
2	Tom Lehman	United States	70-70-69-72=281	–7	216,000
3	Larry Mize	United States	68-71-72-71=282	–6	136,000
4	Tom Kite	United States	69-72-71-71=283	–5	96,000
T5	Jay Haas	United States	72-72-72-69=285	–3	73,000
T5	Jim McGovern	United States	72-70-71-72=285	–3	73,000
T5	Loren Roberts	United States	75-68-72-70=285	–3	73,000
T8	Ernie Els	South Africa	74-67-74-71=286	–2	60,000
T8	Corey Pavin	United States	71-72-73-70=286	–2	60,000
T10	Ian Baker-Finch	Australia	71-71-71-74=287	–1	50,000
T10	Raymond Floyd	United States	70-74-71-72=287	–1	50,000
T10	John Huston	United States	72-72-74-69=287	–1	50,000
